"1" "2"
"ENSG00000186092" 8.45546289990492e-12 1.00224604204208e-11
"ENSG00000237683" 1.16992098773509e-11 8.18600654621953e-07
"ENSG00000235249" 8.45546289990492e-12 1.00224604204208e-11
"ENSG00000185097" 8.45546289990492e-12 1.00224604204208e-11
"ENSG00000269831" 8.45546289990492e-12 1.00224604204208e-11
"ENSG00000269308" 8.45546289990492e-12 1.00224604204208e-11
"ENSG00000187634" 8.45546289990492e-12 1.00224604204208e-11
"ENSG00000268179" 8.45546289990492e-12 1.00224604204208e-11
"ENSG00000188976" 9.41298956690238e-06 6.44202996188012e-06
"ENSG00000187961" 3.43810183582103e-06 6.15702474915585e-06
"ENSG00000187583" 1.38120837876401e-06 2.99983418607252e-11
"ENSG00000187642" 9.63753148069267e-12 4.09305859818412e-07
"ENSG00000188290" 4.71957015120568e-07 2.59080472248848e-07
"ENSG00000187608" 0.000263217508769715 0.000572077570263654
"ENSG00000188157" 3.36439091881644e-05 1.74213518505565e-05
"ENSG00000237330" 8.45546289990492e-12 1.00224604204208e-11
"ENSG00000131591" 2.02336967909232e-06 4.63881284132956e-07
"ENSG00000162571" 8.45546289990492e-12 1.00224604204208e-11
"ENSG00000186891" 7.38729065746806e-06 1.05391151879787e-06
"ENSG00000186827" 1.4502773811333e-05 2.28095609436552e-11
"ENSG00000078808" 3.75936301255176e-05 1.72315107780188e-05
"ENSG00000176022" 7.02793519191955e-06 4.35903837558279e-06
"ENSG00000184163" 8.45546289990492e-12 1.00224604204208e-11
"ENSG00000160087" 1.28853513976867e-05 1.99259810910852e-05
"ENSG00000162572" 8.7920899934477e-07 1.41503331847712e-06
"ENSG00000131584" 4.4926024062348e-06 3.67810654115073e-06
"ENSG00000169972" 3.28407932195441e-06 6.33966897246008e-06
"ENSG00000127054" 2.2577740901229e-05 2.2353078041993e-05
"ENSG00000224051" 1.09118834545799e-05 3.02800012668921e-06
"ENSG00000169962" 8.45546289990492e-12 1.00224604204208e-11
"ENSG00000107404" 1.11568662549182e-05 8.467735569619e-06
"ENSG00000162576" 8.45546289990492e-12 1.00224604204208e-11
"ENSG00000175756" 4.91940096615138e-05 0.000139788374475292
"ENSG00000221978" 5.18435743129276e-05 3.75965084860095e-05
"ENSG00000224870" 2.18885644354042e-06 2.68385644236578e-07
"ENSG00000242485" 0.000130874941673875 0.000201365982915989
"ENSG00000235098" 8.74465848464741e-12 4.09306918287245e-07
"ENSG00000205116" 8.45546289990492e-12 1.00224604204208e-11
"ENSG00000179403" 8.10445620352655e-11 5.32092458550796e-06
"ENSG00000215915" 4.16970272689929e-06 4.47128285092544e-06
"ENSG00000160072" 1.01992340991601e-05 3.87134718871502e-06
"ENSG00000197785" 6.89944633366451e-06 1.43331933408726e-05
"ENSG00000205090" 8.45546289990492e-12 1.00224604204208e-11
"ENSG00000160075" 9.868800936818e-05 0.000119184439200688
"ENSG00000215014" 8.45546289990492e-12 1.00224604204208e-11
"ENSG00000228594" 8.45546289990492e-12 1.00224604204208e-11
"ENSG00000197530" 1.01165917579954e-06 7.39612499650986e-06
"ENSG00000189409" 8.45546289990492e-12 1.00224604204208e-11
"ENSG00000248333" 2.80774887170956e-05 3.13869015907877e-05
"ENSG00000189339" 1.50119930557077e-05 1.08558180033986e-05
"ENSG00000008128" 4.40864242032404e-05 5.37499799349329e-05
"ENSG00000215790" 8.45546289990492e-12 1.00224604204208e-11
"ENSG00000008130" 2.75106825409998e-05 1.60962799620489e-05
"ENSG00000078369" 0.000217143956280503 0.000284107153438737
"ENSG00000169885" 8.45546289990492e-12 1.00224604204208e-11
"ENSG00000178821" 8.45546289990492e-12 1.00224604204208e-11
"ENSG00000142609" 8.45546289990492e-12 1.00224604204208e-11
"ENSG00000187730" 8.45546289990492e-12 1.00224604204208e-11
"ENSG00000067606" 8.45546289990492e-12 1.00224604204208e-11
"ENSG00000162585" 1.2517388471791e-05 1.09479934451385e-05
"ENSG00000269554" 8.45546289990492e-12 1.00224604204208e-11
"ENSG00000203301" 8.45546289990492e-12 1.00224604204208e-11
"ENSG00000157933" 2.13032411667682e-06 1.56798736065069e-06
"ENSG00000116151" 1.28020401968155e-11 1.22789658613037e-06
"ENSG00000269753" 8.45546289990492e-12 1.00224604204208e-11
"ENSG00000157916" 7.18701715691285e-05 5.43777703335642e-05
"ENSG00000157911" 8.45546289990492e-12 1.00224604204208e-11
"ENSG00000149527" 8.45546289990492e-12 1.00224604204208e-11
"ENSG00000157881" 2.76293019188891e-06 8.59461797262826e-06
"ENSG00000197921" 8.45546289990492e-12 1.00224604204208e-11
"ENSG00000157873" 0.000152811269341853 3.81152929952175e-05
"ENSG00000157870" 4.04741459394176e-06 2.16031479258572e-06
"ENSG00000142606" 8.45546289990492e-12 1.00224604204208e-11
"ENSG00000215912" 8.45546289990492e-12 1.00224604204208e-11
"ENSG00000169717" 8.45546289990492e-12 1.00224604204208e-11
"ENSG00000142611" 8.45546289990492e-12 1.00224604204208e-11
"ENSG00000130762" 8.45546289990492e-12 1.00224604204208e-11
"ENSG00000162591" 3.53409988706772e-07 3.26478407154421e-06
"ENSG00000158109" 2.63327557195132e-05 1.25713833611843e-05
"ENSG00000116213" 2.28085492145562e-05 2.78095979131373e-05
"ENSG00000078900" 2.55839671341794e-05 3.43429946536075e-05
"ENSG00000162592" 8.45546289990492e-12 1.00224604204208e-11
"ENSG00000235169" 8.45546289990492e-12 1.00224604204208e-11
"ENSG00000130764" 1.745100380171e-05 3.33417230697259e-05
"ENSG00000116198" 1.94591957849913e-05 8.85771483556209e-06
"ENSG00000169598" 2.30853511890899e-11 1.02324236467851e-05
"ENSG00000198912" 3.28807008566312e-05 5.39352344565664e-05
"ENSG00000196581" 8.45546289990492e-12 1.00224604204208e-11
"ENSG00000131697" 3.10770700121845e-06 5.64847053489913e-11
"ENSG00000069424" 6.34017368212254e-05 8.9384294092021e-05
"ENSG00000268332" 8.45546289990492e-12 1.00224604204208e-11
"ENSG00000116254" 3.45312227343626e-07 1.05227047014711e-11
"ENSG00000116251" 0.000480064220994643 0.000346550965064151
"ENSG00000158286" 1.76389550300001e-05 6.1093632164526e-06
"ENSG00000116237" 1.05858814798842e-05 3.45211933446617e-05
"ENSG00000173673" 8.45546289990492e-12 1.00224604204208e-11
"ENSG00000158292" 2.31337118358788e-05 1.97404785984057e-09
"ENSG00000097021" 4.05675334437123e-05 8.69814978561773e-05
"ENSG00000069812" 1.21457851896586e-11 2.86508631855791e-06
"ENSG00000187017" 8.45546289990492e-12 1.00224604204208e-11
"ENSG00000215788" 1.99914602832e-11 4.09293586768359e-07
"ENSG00000171680" 8.45546289990492e-12 1.00224604204208e-11
"ENSG00000162408" 2.15661113791748e-05 1.98684095450497e-05
"ENSG00000173662" 2.72110341195763e-11 2.04647398417447e-06
"ENSG00000204859" 4.01218078742746e-06 1.07974084154606e-05
"ENSG00000162413" 2.68366141046232e-05 1.4427016997929e-05
"ENSG00000116273" 8.97738566911235e-06 1.10513440244249e-05
"ENSG00000041988" 1.56363774251581e-05 2.64880957246604e-05
"ENSG00000007923" 7.07732980593947e-06 9.21065690459223e-06
"ENSG00000171735" 9.53597296996684e-05 0.000167743164610192
"ENSG00000049245" 1.85149657790294e-05 1.36715090007822e-05
"ENSG00000049246" 8.45546289990492e-12 1.00224604204208e-11
"ENSG00000049247" 8.45546289990492e-12 1.00224604204208e-11
"ENSG00000049249" 1.43427056403528e-05 1.84621501797349e-07
"ENSG00000116288" 0.000450386116885787 0.000572055790246109
"ENSG00000116285" 1.03591988203054e-06 1.13917310744709e-11
"ENSG00000162426" 8.45546289990492e-12 1.00224604204208e-11
"ENSG00000142599" 8.56625730801711e-05 7.93687307398049e-05
"ENSG00000074800" 0.00246424109165892 0.0025791277884036
"ENSG00000131686" 3.45307206186834e-07 1.64744289943015e-11
"ENSG00000197241" 8.45546289990492e-12 1.00224604204208e-11
"ENSG00000142583" 0.000142695836232666 7.68619885987762e-05
"ENSG00000180758" 4.03909156737936e-05 1.1302536273949e-08
"ENSG00000049239" 2.2120490120492e-05 2.12580242002193e-05
"ENSG00000171621" 3.45310606917336e-07 1.24465686845708e-11
"ENSG00000171612" 9.04267637586017e-06 8.51816135709592e-06
"ENSG00000188807" 1.13537306385481e-05 4.1459467821958e-06
"ENSG00000171608" 7.03402571507196e-05 5.16892407267981e-05
"ENSG00000179840" 8.45546289990492e-12 1.00224604204208e-11
"ENSG00000171603" 6.7904496355222e-05 5.70325542283581e-05
"ENSG00000178585" 1.14599057695178e-05 1.53578591543825e-06
"ENSG00000162441" 4.3850718931662e-05 3.84771050472069e-05
"ENSG00000173614" 4.0515229202103e-06 2.13926713921786e-05
"ENSG00000162444" 8.45546289990492e-12 1.00224604204208e-11
"ENSG00000130939" 2.92740154192495e-05 3.73361314272085e-05
"ENSG00000054523" 1.3723805145211e-06 1.31079816068702e-05
"ENSG00000142657" 5.32531313957715e-05 6.49862454953241e-05
"ENSG00000175279" 7.69760210552377e-06 6.83865876031006e-06
"ENSG00000251503" 8.45546289990492e-12 1.00224604204208e-11
"ENSG00000241563" 8.45546289990492e-12 1.00224604204208e-11
"ENSG00000160049" 3.41034659889734e-05 5.65786643963253e-05
"ENSG00000142655" 2.4841106092689e-05 1.22980494362468e-05
"ENSG00000130940" 1.06657516555635e-06 8.14957901736042e-06
"ENSG00000175262" 8.45546289990492e-12 1.00224604204208e-11
"ENSG00000120948" 8.52187808539191e-05 8.68530717813358e-05
"ENSG00000009724" 4.65888105784905e-06 1.02648301807074e-06
"ENSG00000116649" 2.57408539080908e-05 6.0761503776814e-05
"ENSG00000171824" 7.81104309558105e-05 5.19096397924099e-05
"ENSG00000198793" 2.23538467972109e-05 5.01185195569888e-06
"ENSG00000171819" 8.45546289990492e-12 1.00224604204208e-11
"ENSG00000120942" 1.32051964209898e-05 3.46907901100437e-05
"ENSG00000204624" 8.45546289990492e-12 1.00224604204208e-11
"ENSG00000116661" 8.5103721758881e-07 2.19051808985977e-07
"ENSG00000132879" 8.72308085352613e-06 5.62253195476056e-06
"ENSG00000116663" 2.41194534169022e-05 2.70744396151268e-05
"ENSG00000116670" 9.7596037216797e-06 2.60869178665909e-05
"ENSG00000162490" 1.72646393295644e-06 8.7624234384458e-11
"ENSG00000177674" 1.69283107084965e-05 9.81208593150791e-06
"ENSG00000215910" 8.45546289990492e-12 1.00224604204208e-11
"ENSG00000177000" 7.26999350660704e-06 1.88052487372399e-05
"ENSG00000011021" 1.57973599942852e-05 1.9339187605444e-05
"ENSG00000175206" 1.48714304589971e-11 2.86508308788241e-06
"ENSG00000120937" 8.45546289990492e-12 1.00224604204208e-11
"ENSG00000116685" 3.42090737871012e-05 4.499322350751e-05
"ENSG00000083444" 3.74507967138318e-05 4.40158870865771e-05
"ENSG00000116688" 2.10447387340075e-05 4.46352147616821e-05
"ENSG00000116691" 0.000128789082567774 7.49097876570052e-05
"ENSG00000120949" 0.000143102769796614 4.03215988046634e-05
"ENSG00000028137" 0.000217471023216239 9.35437825248573e-05
