"1" "2" "3"
"ENSG00000186092" 7.77221094753378e-12 9.0692410359925e-12 1.13449574284573e-11
"ENSG00000237683" 1.43238665029493e-11 1.11110865141439e-06 1.35579864703174e-11
"ENSG00000235249" 7.77221094753378e-12 9.0692410359925e-12 1.13449574284573e-11
"ENSG00000185097" 7.77221094753378e-12 9.0692410359925e-12 1.13449574284573e-11
"ENSG00000269831" 7.77221094753378e-12 9.0692410359925e-12 1.13449574284573e-11
"ENSG00000269308" 7.77221094753378e-12 9.0692410359925e-12 1.13449574284573e-11
"ENSG00000187634" 7.77221094753378e-12 9.0692410359925e-12 1.13449574284573e-11
"ENSG00000268179" 7.77221094753378e-12 9.0692410359925e-12 1.13449574284573e-11
"ENSG00000188976" 5.21442475882312e-11 6.96553607521457e-06 2.11697780429968e-05
"ENSG00000187961" 8.09443932637877e-06 3.70232232246506e-06 9.27342503984083e-07
"ENSG00000187583" 1.12117048804234e-11 1.44213992502013e-11 2.77983185801103e-06
"ENSG00000187642" 1.05740544760869e-11 5.55559425966663e-07 1.24357653183721e-11
"ENSG00000188290" 8.40525702885953e-07 1.3032394044166e-07 2.4080483356682e-11
"ENSG00000187608" 0.000304300280904325 0.000624252266554641 0.000276033812907775
"ENSG00000188157" 2.68356102295856e-05 1.65178883818171e-05 3.74600307081533e-05
"ENSG00000237330" 7.77221094753378e-12 9.0692410359925e-12 1.13449574284573e-11
"ENSG00000131591" 4.74659968867443e-11 1.23373149234172e-06 3.32136325869033e-06
"ENSG00000162571" 7.77221094753378e-12 9.0692410359925e-12 1.13449574284573e-11
"ENSG00000186891" 9.01430221822142e-06 3.19900665142992e-07 3.12083920559909e-06
"ENSG00000186827" 2.12856993361069e-11 1.21651644680371e-11 2.91882261489764e-05
"ENSG00000078808" 2.46047740426551e-05 1.47263544963052e-05 5.06019589544707e-05
"ENSG00000176022" 9.98935834252762e-06 3.3838093946646e-06 2.72954780628666e-06
"ENSG00000184163" 7.77221094753378e-12 9.0692410359925e-12 1.13449574284573e-11
"ENSG00000160087" 2.15232850246299e-11 2.18165849531747e-05 3.24754429037577e-05
"ENSG00000162572" 8.34998417747751e-12 2.29370494352805e-11 4.16974149714787e-06
"ENSG00000131584" 3.0435142376119e-11 2.0771480880539e-06 1.26907064823489e-05
"ENSG00000169972" 3.47588537943256e-06 7.17288269435249e-06 3.32754589406785e-06
"ENSG00000127054" 1.57941788661866e-05 2.22304904007681e-05 3.25318021693292e-05
"ENSG00000224051" 1.6423822893844e-11 2.90331454741078e-06 2.34715400721538e-05
"ENSG00000169962" 7.77221094753378e-12 9.0692410359925e-12 1.13449574284573e-11
