"1" "2" "3" "4"
"ENSG00000186092" 8.30899171807853e-12 9.44972138846054e-12 9.44237320155557e-12 9.61399201820363e-12
"ENSG00000237683" 6.25142721827808e-11 1.60426270380776e-11 1.06494487843976e-11 1.57040378552024e-06
"ENSG00000235249" 8.30899171807853e-12 9.44972138846054e-12 9.44237320155557e-12 9.61399201820363e-12
"ENSG00000185097" 8.30899171807853e-12 9.44972138846054e-12 9.44237320155557e-12 9.61399201820363e-12
"ENSG00000269831" 8.30899171807853e-12 9.44972138846054e-12 9.44237320155557e-12 9.61399201820363e-12
"ENSG00000269308" 8.30899171807853e-12 9.44972138846054e-12 9.44237320155557e-12 9.61399201820363e-12
"ENSG00000187634" 8.30899171807853e-12 9.44972138846054e-12 9.44237320155557e-12 9.61399201820363e-12
"ENSG00000268179" 8.30899171807853e-12 9.44972138846054e-12 9.44237320155557e-12 9.61399201820363e-12
"ENSG00000188976" 1.16396790685108e-05 1.61129006706874e-11 1.9934853863808e-05 4.66665378388939e-11
"ENSG00000187961" 1.60595358410279e-05 1.75277234946875e-11 1.0305163390926e-06 7.33956774743425e-11
"ENSG00000187583" 1.1674535446511e-11 1.2973645020669e-11 3.08485783180403e-06 1.50706166698926e-11
"ENSG00000187642" 6.78647252325169e-07 9.45104456503475e-12 9.4448075275409e-12 4.33322335078246e-11
"ENSG00000188290" 1.35723095190056e-06 5.00965902667225e-11 1.63374142406082e-11 3.98085976208843e-11
"ENSG00000187608" 0.000546931742722532 0.000208724438255141 0.000271120126641637 0.000574869736735872
"ENSG00000188157" 3.12367937680767e-05 2.43818740483103e-05 3.60909714306037e-05 1.22371244325437e-05
"ENSG00000237330" 8.30899171807853e-12 9.44972138846054e-12 9.44237320155557e-12 9.61399201820363e-12
"ENSG00000131591" 2.06848429918124e-11 4.34910439008523e-08 3.66054905835787e-06 1.72534294465004e-06
"ENSG00000162571" 8.30899171807853e-12 9.44972138846054e-12 9.44237320155557e-12 9.61399201820363e-12
"ENSG00000186891" 1.15346034325393e-05 1.42563775642111e-06 3.97667686145646e-06 2.82831660275935e-11
"ENSG00000186827" 2.26573943907176e-11 4.31660200645673e-11 3.23909974502348e-05 1.31657873970715e-11
"ENSG00000078808" 1.89508722440995e-05 3.2792024323209e-05 5.15732423982951e-05 1.07701944243161e-05
"ENSG00000176022" 1.24791022621957e-11 2.15642814806838e-05 2.36014046203308e-06 4.47155444594681e-11
"ENSG00000184163" 8.30899171807853e-12 9.44972138846054e-12 9.44237320155557e-12 9.61399201820363e-12
"ENSG00000160087" 7.9914996031353e-06 1.3767324251957e-11 3.3143192597948e-05 2.45378210553881e-05
"ENSG00000162572" 1.22084392435511e-11 9.71616525396972e-12 4.62727894293866e-06 2.73745708982503e-11
"ENSG00000131584" 6.74653576260991e-07 2.9951125024442e-11 1.30910425892627e-05 3.16561975042197e-06
"ENSG00000169972" 2.75891198254665e-06 4.3064340918443e-06 3.36574994784963e-06 8.6304123702753e-06
"ENSG00000127054" 1.06782198429663e-05 1.99340903382702e-05 3.29425514487419e-05 2.80507013558414e-05
"ENSG00000224051" 5.05897414818213e-11 1.6576876382321e-11 2.48232472747248e-05 5.34960776416338e-06
"ENSG00000169962" 8.30899171807853e-12 9.44972138846054e-12 9.44237320155557e-12 9.61399201820363e-12
