"1" "2" "3" "4" "5"
"ENSG00000186092" 5.70506273139522e-12 9.1413951524266e-12 8.59631396210461e-12 1.11940775349842e-11 1.82543686556864e-11
"ENSG00000237683" 1.01139108604783e-11 1.86640581422324e-06 1.6993126762148e-10 1.25504917919938e-11 2.83710850679536e-11
"ENSG00000235249" 5.70506273139522e-12 9.1413951524266e-12 8.59631396210461e-12 1.11940775349842e-11 1.82543686556864e-11
"ENSG00000185097" 5.70506273139522e-12 9.1413951524266e-12 8.59631396210461e-12 1.11940775349842e-11 1.82543686556864e-11
"ENSG00000269831" 5.70506273139522e-12 9.1413951524266e-12 8.59631396210461e-12 1.11940775349842e-11 1.82543686556864e-11
"ENSG00000269308" 5.70506273139522e-12 9.1413951524266e-12 8.59631396210461e-12 1.11940775349842e-11 1.82543686556864e-11
"ENSG00000187634" 5.70506273139522e-12 9.1413951524266e-12 8.59631396210461e-12 1.11940775349842e-11 1.82543686556864e-11
"ENSG00000268179" 5.70506273139522e-12 9.1413951524266e-12 8.59631396210461e-12 1.11940775349842e-11 1.82543686556864e-11
"ENSG00000188976" 2.93428870028779e-06 1.46140954056481e-05 2.07583343232894e-11 2.54898433141281e-05 2.97753290696465e-11
"ENSG00000187961" 3.91915504476789e-11 2.22593004328588e-05 1.62992830445265e-11 1.31383935990576e-06 3.15932990701423e-11
"ENSG00000187583" 1.19521990892056e-11 1.10598276043786e-11 1.40698822894872e-11 4.57142595564282e-06 1.9701806618411e-11
"ENSG00000187642" 6.09962631167793e-12 9.33294159295598e-07 1.27115760146624e-11 1.20487182729313e-11 1.82819984932992e-11
"ENSG00000188290" 5.67526100800828e-07 9.57197949678916e-07 2.76319842618528e-11 1.32846881959948e-11 4.93353266358716e-11
"ENSG00000187608" 8.42862386743506e-05 0.000938424744670859 0.000359616050167467 0.000393755208114392 0.000476175802424208
"ENSG00000188157" 3.94079081035492e-05 2.05231627967993e-05 1.46097467751234e-05 2.71958968759499e-05 1.84673290138617e-05
"ENSG00000237330" 5.70506273139522e-12 9.1413951524266e-12 8.59631396210461e-12 1.11940775349842e-11 1.82543686556864e-11
