"1" "2" "3" "4" "5"
"ENSG00000237683" 1.26682351031251e-07 2.75176398585997e-06 1.58761021373459e-05 1.19513888180642e-05 7.22770594989174e-06
"ENSG00000269831" 1.61600728575146e-12 1.47167647096417e-07 1.36340571565697e-12 2.294168287401e-12 2.47308504260673e-07
"ENSG00000188976" 9.09397657704626e-06 3.55975440294799e-05 9.59137142513317e-06 5.65011706038737e-05 2.79312402040817e-05
"ENSG00000187961" 8.59091615889548e-08 3.89280225932758e-06 7.90456672498984e-06 2.68527353111757e-11 1.00226382703871e-05
"ENSG00000187583" 1.37181050071832e-12 4.12974001352972e-08 3.57953899559008e-07 4.71776762144286e-12 4.13936729522393e-12
"ENSG00000187642" 7.78137847834884e-08 1.27252940369122e-07 6.89001136477519e-12 6.34162218843505e-07 3.33644863206812e-07
"ENSG00000188290" 3.89608870314737e-12 1.12827696036707e-07 3.79671483429084e-12 1.26567386413929e-06 5.25093419929408e-12
"ENSG00000187608" 6.28110615251476e-06 4.67363358148249e-05 5.6642623112038e-09 8.24488446819755e-05 7.08469698469474e-05
"ENSG00000188157" 1.06785023428706e-05 2.8708278427306e-05 9.22741747842055e-05 7.12946133846224e-05 0.00011654413865492
"ENSG00000131591" 1.47035147077064e-06 6.05671870105111e-06 6.60977453983851e-06 3.95917261315096e-11 1.00707314283674e-05
"ENSG00000162571" 2.54071818769381e-07 2.96569786583663e-12 1.20861959702916e-06 3.80499667582222e-07 6.75102412668195e-08
"ENSG00000186891" 3.92563489013799e-12 8.6710192546709e-13 3.45233597134348e-12 4.51035671902682e-07 9.24621582146105e-12
"ENSG00000186827" 9.76321821793139e-13 1.81168990571504e-12 2.0926092775944e-07 8.85458025291402e-12 3.94645610888965e-12
"ENSG00000078808" 1.05389892911639e-05 1.89272722218469e-05 3.51749453031948e-05 1.88465642988753e-05 1.27358254365506e-05
"ENSG00000176022" 3.1437650809715e-06 8.92680373776756e-06 1.86181308235981e-05 1.29222987814371e-05 4.93408366833954e-05
"ENSG00000184163" 2.99600995051724e-07 2.29864043545872e-08 2.17674782230608e-11 3.23387922559841e-11 1.81333765198532e-11
"ENSG00000160087" 1.49234892914894e-05 3.38594579242906e-05 3.26186796318626e-05 3.40859967584727e-05 1.14192650589126e-05
"ENSG00000162572" 6.48095291537477e-07 9.44450030968455e-07 8.73435546275609e-07 2.95774951730633e-07 9.72813685735067e-11
"ENSG00000131584" 4.07495950367106e-11 5.15051367630785e-06 1.1725092999827e-05 1.21655140770503e-06 1.62731791568183e-05
"ENSG00000169972" 6.27837666201285e-06 2.15455433948305e-05 4.33497602296001e-06 2.1568252787763e-05 3.56744924299149e-05
"ENSG00000127054" 4.19548640691801e-05 6.26711123869217e-05 5.16800852041017e-05 5.10310507175612e-05 3.39358655516286e-10
"ENSG00000224051" 4.15592476507268e-06 4.39172456446687e-06 1.1810425292737e-05 7.65765586670456e-06 1.18318456718773e-10
"ENSG00000107404" 6.25257487595058e-06 1.79510876877188e-05 1.0445213906171e-05 1.72691445274387e-05 2.62141455800092e-05
"ENSG00000162576" 7.70320803074931e-10 6.87742804985215e-06 5.94223096447564e-06 2.79147746668073e-05 2.37885872847656e-05
"ENSG00000175756" 8.8147756153824e-05 0.000249386015874876 7.64774385216993e-05 0.000298702515620016 8.41025076076904e-05
"ENSG00000221978" 9.25817014409524e-07 5.8380551388174e-05 8.74162253800059e-05 8.56203975915189e-05 0.000200103552860119
"ENSG00000224870" 3.38202484940323e-07 2.59378039303034e-06 4.12227542255901e-06 6.72097426245897e-06 3.33132030383514e-11
"ENSG00000242485" 0.000572080299037969 0.000405557961946108 0.000289937412973615 8.88068899629949e-07 0.000356735380141806
"ENSG00000235098" 3.15030940269913e-12 8.16490252972701e-07 2.31835165146365e-12 3.30339016249711e-06 2.00161443488827e-06
"ENSG00000205116" 3.00895426526964e-12 8.24383732319152e-08 3.59406747995128e-07 3.62244284898989e-07 7.07362223846437e-12
"ENSG00000179403" 3.23816301685725e-06 1.98470218521153e-05 3.98774525852148e-05 4.98638631006858e-06 5.65758199277513e-05
"ENSG00000215915" 2.00658541928967e-06 1.94116257568191e-06 6.65361564826872e-09 1.66036382382396e-10 1.33399177382052e-11
"ENSG00000160072" 7.82599513756022e-06 1.39395138776769e-05 3.19679925715199e-05 1.25732787279526e-05 1.91987712687873e-09
"ENSG00000197785" 1.8561388829198e-05 1.9979434917962e-05 2.35916169647643e-05 1.36436510650355e-05 8.17235020693212e-10
"ENSG00000205090" 1.11595680140539e-12 8.52246690974959e-13 1.39093502169915e-12 2.89567283607879e-12 7.91976637724228e-07
"ENSG00000160075" 0.000206922352216675 0.000215821684176829 0.000198380976157885 0.000131235714997745 6.98918847674399e-05
"ENSG00000215014" 9.70162623476411e-07 3.23843189882745e-06 1.1920055752292e-06 6.66225849452285e-12 9.46354345920943e-07
"ENSG00000228594" 8.82410601301472e-06 1.29370347748545e-05 6.84166947169957e-06 1.08384673968743e-05 1.83450235733613e-05
"ENSG00000197530" 4.55026458417156e-06 4.39233789360587e-06 1.56752997742602e-06 1.08437078260314e-05 7.63075207119841e-06
"ENSG00000189409" 2.98369749283922e-12 9.65119322398232e-13 1.36793838237915e-07 2.13544331617577e-06 3.93227817883575e-07
"ENSG00000248333" 3.5160900699215e-05 4.79687348643642e-05 3.73891082392272e-05 3.68145954242629e-05 7.06643227180733e-05
"ENSG00000189339" 1.95055216482521e-05 2.08167822106858e-05 3.02102898119829e-05 8.46380863742103e-06 7.5348384151936e-05
"ENSG00000008128" 5.04845381390043e-05 5.49005878911143e-05 5.85495318366211e-05 4.54988157061016e-05 1.97937909175761e-05
"ENSG00000215790" 4.40033002042554e-08 1.35046884599996e-06 1.59388795185428e-06 4.19844610719141e-06 8.95709531271175e-06
"ENSG00000008130" 1.31833890350094e-05 1.27031004993006e-05 1.78957322155592e-05 3.10465413685291e-05 1.09720097757078e-05
"ENSG00000078369" 0.000246114522766547 0.000279484439866508 0.00027721761086363 0.000190900832110892 0.000179899649357703
"ENSG00000169885" 7.76521614885199e-13 1.42659450079415e-07 2.20281133709905e-12 2.17628414220110e-12 3.25006329101259e-12
"ENSG00000178821" 4.78260913964138e-06 1.11810842771778e-05 2.73574936839879e-06 1.3548163648227e-05 3.80161763879929e-06
"ENSG00000142609" 3.98471323809691e-07 3.61894014377565e-08 2.86108300216922e-12 8.99960792017755e-12 1.61497717586811e-07
"ENSG00000187730" 1.93548690364821e-12 1.21794171281034e-12 1.40023609090533e-11 4.20979450214526e-06 8.34666375119478e-12
