"1" "2" "3" "4" "5" "6"
"ENSG00000237683" 1.9560053477089e-11 5.33883991478663e-06 4.72883713828119e-06 1.05355657364218e-05 9.11452912072617e-06 3.5215172346205e-05
"ENSG00000269831" 1.42234648970961e-12 1.13425925935062e-07 3.47063536929754e-12 2.01963474637612e-12 4.96350570095651e-07 2.79177613628823e-12
"ENSG00000188976" 1.85750682908049e-05 1.07206262649464e-05 2.11752178316418e-05 1.78535929546184e-05 8.39966206827897e-05 2.01936459347941e-05
"ENSG00000187961" 1.74373817799622e-06 8.06855272199123e-06 7.03572588693261e-12 3.14874905174483e-06 7.61129256432745e-06 2.37676618193922e-06
"ENSG00000187583" 1.05489393445326e-12 2.54957535570174e-12 1.42381308266742e-12 4.18759275684883e-07 3.67497025955008e-12 5.2096855025332e-07
"ENSG00000187642" 1.24362183981447e-07 9.18330899231782e-12 4.91464067413207e-07 1.83524586368298e-11 3.7078341579947e-07 2.98673685067841e-11
"ENSG00000188290" 3.7326723382753e-11 1.83439816008867e-12 6.52421080658608e-07 2.2908406229906e-07 3.72682607248082e-07 5.04087876415405e-07
"ENSG00000187608" 1.95111720256861e-05 1.0615041278581e-05 4.10043188003132e-05 2.39201236199666e-05 0.000115413472769428 1.56230189143513e-05
"ENSG00000188157" 9.78854883763439e-06 7.29377535940835e-05 4.42333266571722e-05 5.44704692486702e-05 8.09796867946584e-05 0.000165119224944641
"ENSG00000131591" 3.29494241669264e-06 7.41692106788685e-06 1.67397766358134e-11 7.17244919095763e-06 7.67105383079876e-06 3.90794920128871e-08
"ENSG00000162571" 7.58879405768074e-08 7.97808038931427e-07 3.11377651736226e-07 1.67984122335363e-07 1.85669579984776e-11 2.23903809927621e-06
"ENSG00000186891" 1.09216628614657e-12 5.7567639581916e-12 6.75543568917782e-08 1.87648090251112e-12 3.05024227968461e-12 6.95465597434187e-07
"ENSG00000186827" 7.14362801082614e-13 2.24455544203677e-12 1.36529696596511e-12 2.11238765324055e-12 5.66860294066118e-12 5.72345791139004e-07
"ENSG00000078808" 1.00910876900968e-05 2.28304524343435e-05 7.6239690416839e-06 2.47162387611298e-05 3.99964471528678e-05 5.48947112326067e-05
"ENSG00000176022" 5.42985283575792e-06 2.48255683415708e-05 1.43707974914078e-05 1.38577659712923e-05 1.4328938166762e-05 1.18721867750666e-05
"ENSG00000184163" 5.72873402517966e-08 2.69019163975615e-11 2.70078649952229e-07 2.57352778989713e-07 6.92358774720596e-12 5.30331504524427e-07
"ENSG00000160087" 1.62261170273883e-05 2.1491099583392e-05 1.3907865713215e-05 3.58985985713747e-05 7.30393031089029e-05 4.8715763259145e-05
"ENSG00000162572" 2.21370656389473e-07 1.00808271346797e-06 6.56266011900635e-07 3.26850283211354e-06 2.67243516488128e-07 1.00841372520029e-08
"ENSG00000131584" 1.90487022019093e-10 9.94260137087031e-06 1.71278840476023e-06 1.20766089712943e-05 1.15561231303824e-05 1.31606723768293e-05
"ENSG00000169972" 8.8926936899158e-06 1.34068621102409e-05 1.63174202881011e-05 2.03229372484161e-05 4.09390132755976e-05 5.63147747530112e-11
"ENSG00000127054" 4.06032645040607e-05 2.63505269275616e-05 3.41463147882196e-05 7.98385578455383e-05 8.4764434903597e-05 8.27172529802133e-05
"ENSG00000224051" 2.90748993403364e-06 4.4983249648247e-06 5.43134533274147e-06 1.14958114317425e-05 5.85235497906446e-06 2.08976851664152e-05
"ENSG00000107404" 8.09266149880671e-06 1.24109090485544e-05 1.05853601597528e-05 1.68038865252798e-05 3.55438961609126e-05 1.76432396810442e-05
"ENSG00000162576" 2.72538665738878e-08 6.48016713601229e-06 1.55652758710551e-05 7.64882249931427e-06 2.7625014736443e-05 2.54186072868679e-05
"ENSG00000175756" 0.000134720925857637 6.42897760143663e-05 0.000110777385850673 0.000150399220938873 0.000537832316050762 0.000120573323787203
"ENSG00000221978" 3.10936883626619e-06 8.76894181274186e-05 6.73195224924743e-05 0.000108663883940269 0.000145724869256973 0.00012922455411896
"ENSG00000224870" 1.64096987702671e-07 7.76858261356289e-12 2.91308168259385e-06 7.41452219563568e-06 4.23531137369202e-06 1.22849380484855e-05
"ENSG00000242485" 0.000494024631412953 0.000441482819635046 0.000379058383151803 0.000351677669886238 0.000161534788586874 7.5509888634069e-11
"ENSG00000235098" 2.50155871173342e-12 2.62199873207325e-12 2.66308800237769e-06 8.60746476616892e-12 4.47872352120466e-06 1.20501111633341e-11
"ENSG00000205116" 2.7476252919966e-12 2.06648747111358e-11 4.78326443927213e-08 2.7150603922256e-12 4.74201024335789e-07 1.32599273782992e-06
"ENSG00000179403" 1.12377053844563e-05 4.33394953797231e-05 5.26162933827755e-08 1.98252697192321e-05 3.73945871990776e-05 1.6986078748353e-05
"ENSG00000215915" 2.37074438709133e-06 5.12503718435715e-11 9.14405320584181e-12 1.14852470479067e-11 1.48890372920914e-06 7.29233242370246e-07
"ENSG00000160072" 5.90583191054803e-06 1.79965393821144e-05 3.69647629700841e-10 1.75166483622682e-05 3.83982693795029e-05 5.75857166344711e-05
"ENSG00000197785" 1.72482441606595e-05 1.47302673987271e-05 1.2198887162322e-05 2.71807182721086e-05 1.88062549705082e-05 2.99263816915278e-05
"ENSG00000205090" 5.11840627872302e-13 1.53714617437824e-07 2.03793955733897e-07 1.95897149707625e-12 2.66377195810132e-12 2.92920330556193e-12
"ENSG00000160075" 0.000204762222094365 0.00018630882333564 0.000145050247013856 0.000227842031593865 0.000198853059540897 0.000120066668214673
"ENSG00000215014" 1.1740245639448e-06 1.28601751347474e-06 5.16809181989017e-12 5.89251893714724e-06 2.23968627239259e-06 2.35534409008212e-11
"ENSG00000228594" 8.82225909366659e-06 9.92722397476905e-06 1.40626264194378e-05 2.05537987353368e-05 9.94115631784051e-06 2.89293148076538e-09
"ENSG00000197530" 4.46179487428308e-06 3.07560391277513e-06 9.08512995376756e-06 4.07623881032156e-06 5.10768503934434e-06 4.37051418648434e-06
"ENSG00000189409" 7.77434250595555e-13 7.60168969141148e-12 9.54293699783401e-07 2.09332217007006e-12 3.57615144745532e-12 2.56166045212401e-06
"ENSG00000248333" 4.08722014343681e-05 4.91600156852432e-05 3.95664393569046e-05 4.73650185856685e-05 5.20577005793281e-05 8.42421120334598e-06
"ENSG00000189339" 2.20088101987914e-05 4.4316569954114e-05 2.39805993971308e-05 2.4966007977876e-05 1.40565956755268e-05 2.77839858148033e-06
"ENSG00000008128" 4.47539366423862e-05 4.23604188957973e-05 4.20704032360628e-05 7.11312011416444e-05 6.23487607427191e-05 8.61596973790697e-05
"ENSG00000215790" 8.46180207502508e-10 1.24034027057428e-06 5.53410790585556e-06 4.11891909585893e-06 1.86524374218713e-06 3.09220236602782e-06
