"1" "2" "3" "4" "5" "6" "7"
"ENSG00000237683" 1.59308396146843e-11 2.62641133461646e-06 1.08625943796339e-05 2.13138174271074e-05 1.73819667011122e-06 1.22089447779253e-05 6.30052885644312e-06
"ENSG00000269831" 6.31526610186986e-13 6.7335872522366e-12 1.33779417671677e-12 1.88214450831411e-12 2.68990650463162e-07 1.94132560664722e-12 4.42535824816194e-07
"ENSG00000188976" 1.97491968975216e-05 1.86629288366299e-05 1.67511777447594e-05 5.97753562231412e-06 9.59136054363703e-05 1.49265162335149e-05 1.52414413842191e-08
"ENSG00000187961" 1.50865134931308e-10 5.02242061029039e-07 9.49559326398953e-06 3.25625160608669e-06 9.41224503595317e-06 1.22208337732464e-06 8.47673403363452e-06
"ENSG00000187583" 8.5200859610091e-13 1.0532512031187e-07 1.34312151976811e-07 3.44167705485082e-07 2.78985004471749e-12 2.45532179184672e-12 3.53578874342616e-12
"ENSG00000187642" 1.45043872555439e-11 2.08865928801217e-08 2.48199728145426e-12 1.44689174082896e-07 2.83355029172784e-07 7.81876804761981e-07 8.31979766514813e-07
"ENSG00000188290" 3.41426901216098e-12 1.23611097453678e-07 6.03245228212286e-12 3.43456832453449e-07 2.14384609673433e-07 1.28780579685812e-06 2.72427768561668e-12
"ENSG00000187608" 1.70005640991961e-05 2.84253233297018e-05 5.88336045297073e-11 1.98629896302671e-05 9.97963105146815e-05 4.74328756916754e-05 3.67512614914844e-05
"ENSG00000188157" 4.51313398445567e-06 1.02216510662122e-05 8.82058943130041e-05 0.000111545095031832 5.92149102616096e-05 9.22487256795217e-05 9.89919035464378e-05
"ENSG00000131591" 1.38205310713907e-06 3.50617800352288e-06 8.60824453241013e-06 2.64726262708069e-06 8.48081232471775e-06 4.81865424486807e-11 9.23452051786808e-06
"ENSG00000162571" 3.89931866388606e-07 2.625646189843e-12 1.19766684947644e-06 7.83121326476338e-07 2.79222300510128e-10 1.91649800219705e-07 1.79719676837042e-11
"ENSG00000186891" 9.66883670137661e-08 6.57938825776747e-13 3.42550773112477e-12 2.4494785611829e-07 3.74547223104625e-12 1.23106658341715e-11 2.8590722136254e-12
"ENSG00000186827" 7.42334349330293e-13 9.49012117602483e-13 2.05171805413321e-12 4.02078526388215e-07 3.19132078029696e-12 2.34536657054209e-12 3.38538745054895e-12
"ENSG00000078808" 9.13392262986509e-06 1.08366055615051e-05 3.8378750815866e-05 3.02830412336372e-05 4.1766011492704e-05 1.14953316674184e-05 1.03628439501445e-05
"ENSG00000176022" 8.36118976789639e-06 3.15197122310645e-06 2.94832536294545e-05 1.8955479435767e-06 1.68730249259358e-05 1.82570965943822e-05 2.10689333781412e-05
"ENSG00000184163" 4.81993804386765e-12 1.772205953774e-11 2.33467444620185e-12 5.91000435537176e-07 3.66931944026042e-12 2.36204315611153e-07 7.80200021070156e-07
"ENSG00000160087" 1.90551733876012e-05 2.29394943368233e-05 3.84360804342876e-05 2.04628464066656e-05 7.15534294968138e-05 7.5248831192468e-06 3.03878783576619e-07
"ENSG00000162572" 8.70516735117827e-11 9.51990086604061e-07 2.553113446356e-06 1.63581786364132e-11 6.50417753564808e-12 1.88976961952754e-06 1.78325217893036e-11
"ENSG00000131584" 5.71881652546966e-12 4.5737551560464e-06 1.08264880039115e-05 8.32009506429048e-06 8.69468547269049e-11 8.08645379865945e-06 1.13808895489925e-05
"ENSG00000169972" 9.1480748427882e-06 1.17345074692044e-05 1.73264984883317e-05 1.34908015706696e-11 4.38571717580271e-05 1.73400044199447e-05 9.58320597069384e-06
"ENSG00000127054" 4.40214209548112e-05 6.65427049436051e-05 4.7545619268652e-05 5.52692133127779e-05 4.52727338542926e-05 3.44144774540029e-05 5.57716670712374e-10
"ENSG00000224051" 3.40532577894988e-06 4.66953862455144e-06 1.40182686902672e-05 8.63753874821421e-06 3.7023097931161e-06 8.84612807742311e-06 2.49646798796727e-11
"ENSG00000107404" 1.37641127401002e-07 1.40913699634642e-05 2.50057914443464e-06 3.07988243951563e-05 1.67999436370925e-05 2.48253519750585e-05 4.08693075489423e-05
"ENSG00000162576" 1.56533226444602e-09 2.55641228575048e-06 6.85570203542626e-06 1.53915854090148e-05 1.77436727725001e-05 3.03548154243556e-05 1.41417532376884e-05
"ENSG00000175756" 0.000126558476378096 0.000155395824949316 0.000103800788906608 6.42878955834312e-05 0.000580604418249073 7.58447109855578e-05 2.82057115233976e-07
"ENSG00000221978" 7.54946717086952e-08 3.65807595688263e-05 9.83855820126237e-05 8.49065123703147e-05 5.51610404756148e-05 0.000145795094581829 0.000137251751804609
"ENSG00000224870" 1.62648663684579e-10 3.3372789672641e-06 1.98580338710759e-06 8.06679642615085e-06 1.35027755563544e-11 6.99898422357378e-06 3.63010858145794e-11
"ENSG00000242485" 0.00057608338985855 0.000448940208130003 0.000390428689197516 1.04723017269278e-08 0.000309502904739753 0.000111729055938676 0.000375804599343509
