"1" "2" "3" "4" "5"
"ENSG00000237683" 2.64331563726486e-09 3.8009792729461e-07 5.73776441436546e-06 6.79371353364563e-06 6.57729785397103e-06
"ENSG00000269831" 6.99204684152731e-09 3.82842657336114e-09 1.62897618820485e-13 9.02774822937807e-14 6.5657830511809e-13
"ENSG00000188976" 2.25744280690872e-05 1.0803853880192e-05 1.35888160846436e-08 1.96745706103257e-05 4.61595083503599e-05
"ENSG00000187961" 3.50951489285937e-07 1.64391556581367e-13 4.50214918093064e-06 2.24366228461783e-06 1.83431939928878e-05
"ENSG00000187583" 8.8424544302916e-14 4.14834844671941e-14 6.7087023350918e-07 1.34079833979025e-13 2.95634594639996e-13
"ENSG00000187642" 1.21691187540855e-08 1.18735746244305e-07 1.49861375127877e-13 2.9496582090154e-13 3.06061079547822e-13
"ENSG00000188290" 2.72606292305836e-09 1.40158007656488e-09 9.36422233577244e-14 1.81831431706461e-13 6.16044437903499e-07
"ENSG00000187608" 4.2542713278922e-05 1.66522445289517e-05 1.23956312236994e-12 1.04360361468433e-05 9.83377432951206e-05
"ENSG00000188157" 5.15842907699608e-06 8.64329238376995e-06 3.03757605005757e-05 3.74558085852796e-05 3.25022241826684e-05
"ENSG00000131591" 2.276795861972e-06 2.1113960578176e-13 1.71936672904204e-10 2.68354233554063e-06 1.76332598237797e-05
"ENSG00000162571" 1.38564620668856e-13 2.18579909471231e-13 1.05453663285888e-06 2.71761637858765e-07 5.9962120204872e-13
"ENSG00000186891" 3.46083705199669e-14 7.33693017694019e-08 8.45988477603287e-14 9.52260979312838e-14 2.15351144123026e-13
"ENSG00000186827" 4.1646893086435e-14 1.36621765817364e-13 6.19442544588631e-14 7.10375858438652e-08 5.99070524500575e-13
"ENSG00000078808" 8.12144405479281e-06 5.991776161586e-13 1.78696506330929e-05 1.87295881818046e-05 4.99184676785929e-05
"ENSG00000176022" 2.38740650812627e-06 1.67535537755488e-06 2.27806669060002e-05 1.79632901548364e-05 5.73306236473806e-05
"ENSG00000184163" 2.04518960219247e-07 1.12085382315964e-13 5.02324754564126e-11 1.04088672763628e-13 2.10384708585573e-13
"ENSG00000160087" 1.95226309428932e-05 6.05447566347923e-06 2.41340092025313e-05 1.16832597024301e-12 0.000104987111595629
"ENSG00000162572" 4.44838878223237e-07 1.58112009465317e-07 1.03614226486306e-12 6.02383376879271e-07 1.89051713805749e-12
"ENSG00000131584" 3.86889158025928e-06 1.74797164474915e-13 2.30886229590394e-06 4.9117121251284e-06 1.97515237697291e-12
"ENSG00000169972" 1.76979780976341e-05 7.05564091105638e-06 3.33815336528803e-12 1.90937697356025e-12 5.47633405978294e-05
"ENSG00000127054" 4.8319896636397e-05 1.82116210331115e-05 5.07988334105108e-05 7.27483760716254e-06 0.000136114407190518
"ENSG00000224051" 3.35936643093871e-06 5.26452619689177e-13 8.56150375546893e-06 2.317953371469e-06 1.47153993210467e-05
"ENSG00000107404" 9.10984905257658e-06 4.36488042701124e-06 1.12838589738867e-05 1.96931278198035e-05 2.01370291178032e-05
"ENSG00000162576" 4.21506188896313e-06 3.25561580036605e-06 1.53075613712863e-05 1.2803517016298e-12 1.90893790320179e-05
"ENSG00000175756" 0.000176555070851917 6.23488684621519e-05 2.88131907353208e-05 2.93804479989285e-05 0.000576729903991576
"ENSG00000221978" 2.13218201335751e-05 6.10620767377977e-06 7.35828743807387e-05 8.33903942041243e-05 0.000226411186318536
"ENSG00000224870" 2.91782592345595e-06 2.00036385276348e-06 2.09849122464774e-07 9.90399417766780e-13 2.31921508246934e-12
"ENSG00000242485" 0.000500800464450548 0.000530802975272455 0.000291655739398116 0.000133826760941582 7.26044900925231e-10
