"1" "2" "3" "4" "5" "6"
"ENSG00000237683" 2.31567789593166e-06 8.35208212167931e-13 4.51305341581891e-11 7.95890656260199e-06 5.4920422767533e-06 4.93011798913432e-06
"ENSG00000269831" 4.46367055526427e-14 4.88015766928994e-09 1.77882396987078e-13 9.77036559624173e-14 1.01061003337953e-13 5.07882285630285e-08
"ENSG00000188976" 9.73997939803392e-06 2.76631761301281e-05 1.7561212119797e-05 2.0555423171852e-05 4.84049675068535e-06 5.78279602147692e-12
"ENSG00000187961" 6.20211833631373e-13 2.43446060648433e-06 2.99224170646357e-13 3.40508320074792e-06 9.06124358590735e-06 9.46417135935018e-13
"ENSG00000187583" 1.84311023977713e-07 4.28766280011097e-11 3.67140614439242e-14 1.26023448434374e-13 5.8966112428845e-07 1.47152949637331e-12
"ENSG00000187642" 9.13097921488891e-14 4.57319979823356e-14 8.63489589840944e-09 2.59149227587112e-13 7.20726975797787e-14 7.52655586422234e-07
"ENSG00000188290" 5.66307087069118e-14 1.97886066823548e-08 1.02973916462299e-07 2.66699267033756e-13 1.20233057143045e-13 4.29972931002769e-13
"ENSG00000187608" 7.0931346226627e-11 5.78557385450945e-05 3.29694649931966e-05 1.79206007214648e-05 3.52708844372723e-12 4.79194325306407e-05
"ENSG00000188157" 1.1661674508782e-05 5.0360425895558e-06 3.92220064951797e-06 4.06051745604831e-05 3.4514677623207e-05 5.64630742100631e-05
"ENSG00000131591" 3.30563275953679e-12 3.87960541899324e-06 7.82371927366328e-13 4.52284280663604e-06 3.78736095938307e-06 1.69070657427819e-06
"ENSG00000162571" 2.21180610873911e-07 1.1602502578935e-13 1.42728389414727e-13 1.88967904518812e-12 1.44440438959441e-06 6.1097042943039e-13
"ENSG00000186891" 7.96206096018469e-08 3.24681400461948e-14 1.26535373341954e-09 9.34986501095897e-14 8.9651570351269e-14 3.9909434409311e-13
"ENSG00000186827" 6.9103093482592e-14 4.41921697074614e-14 9.35110062491836e-14 8.96924953026949e-08 6.96615054865102e-14 1.89746076092977e-13
"ENSG00000078808" 5.58689692986701e-06 1.29369757857546e-05 1.20487107728341e-07 2.51059502139501e-05 2.96812194633208e-05 4.71995384159125e-09
"ENSG00000176022" 1.60236651758915e-06 4.6685410627671e-06 3.13510389919257e-07 2.11964738121126e-05 3.17352904211823e-05 5.6181859677385e-05
"ENSG00000184163" 2.96945676682171e-08 2.76230195424088e-08 3.73143721903435e-14 6.21937992315761e-14 1.47558989002758e-13 1.23270285044836e-06
"ENSG00000160087" 7.09153008215154e-06 3.00358547364317e-05 1.91984991357007e-05 3.449828842801e-12 3.50030168350972e-05 2.34542412607307e-08
"ENSG00000162572" 8.02627693061265e-07 3.44695744624916e-07 5.00342711333161e-08 9.107809969664e-09 3.90397457407018e-13 4.70499343971469e-13
"ENSG00000131584" 1.9815004705286e-06 5.02112026144924e-06 1.86044512728954e-13 4.09116759629909e-06 2.99448510192636e-06 3.76840031510752e-08
"ENSG00000169972" 8.48058562896393e-13 2.3859667417512e-05 1.42916480903269e-05 2.23943125552461e-10 3.68204334425104e-06 2.78854507778173e-05
"ENSG00000127054" 2.77789240764819e-05 6.14471703158741e-05 3.17793356743964e-05 8.91508248292002e-06 6.97330998073454e-05 8.76738584653842e-12
"ENSG00000224051" 1.99057044295954e-06 4.32385217572228e-06 3.77035021043249e-10 4.17730607133648e-06 1.39321461134877e-05 9.41824046603079e-13
"ENSG00000107404" 9.70847178037417e-06 1.01446562123312e-05 3.86214657741139e-07 2.52387560782442e-05 6.52832702755246e-06 3.23528236225988e-05
"ENSG00000162576" 4.60245610109403e-07 5.50181757383267e-06 1.93051059630877e-06 3.59539512908596e-12 1.90893406611286e-05 3.79933133524984e-05
"ENSG00000175756" 1.92071294078496e-06 0.000249320996385761 0.000166663872750833 3.78831709159855e-05 0.000108520232153799 2.51374246288444e-11
"ENSG00000221978" 1.08421492022115e-05 3.8164065372001e-05 1.71444284189419e-05 9.82570150936479e-05 9.88186686187334e-05 0.000117231334974623
"ENSG00000224870" 2.24415619522693e-06 2.60086449290944e-06 1.94319229989225e-06 8.51931790109721e-13 2.20535955981595e-12 3.00164894383855e-09
"ENSG00000242485" 0.000451025622058089 0.000477118132578433 0.000566339393652718 9.98268057389171e-05 0.000221214083023143 4.22941099904529e-05
"ENSG00000235098" 3.84914291544157e-14 8.82394474737987e-07 1.72921399614711e-08 3.20504668589309e-13 1.06954138104099e-13 6.93882341352943e-06
