"1" "2" "3" "4" "5" "6" "7"
"ENSG00000237683" 1.82941092723738e-11 2.5320266983633e-13 1.41828599596994e-07 3.86719751286127e-13 8.75682448915325e-06 4.27935004957387e-06 1.76849998867776e-05
"ENSG00000269831" 1.12121159278318e-13 9.20626134269111e-09 1.20724300268192e-13 1.18086580106613e-08 7.46094406415615e-14 1.6608573512189e-13 1.21952177936501e-13
"ENSG00000188976" 1.03395701131486e-05 3.57840885081558e-05 1.2582139235622e-06 1.19961366223427e-06 1.24805025249838e-05 2.5554865930902e-05 6.16907176701481e-05
"ENSG00000187961" 2.16864000652617e-13 2.72174528932862e-06 2.51625765285036e-06 2.22531438831763e-13 3.67424079832727e-12 7.93958071198956e-06 7.97372919563565e-06
"ENSG00000187583" 3.74253558074118e-14 8.6978719857935e-14 6.79591596475809e-07 1.1216965969396e-13 2.39002524387648e-13 7.39462265963792e-14 3.95602797244095e-13
"ENSG00000187642" 1.01023994106347e-13 2.32084719379624e-13 6.38890981405458e-14 2.24857493900983e-07 2.48315221054289e-13 1.37516598112675e-13 2.3924315318063e-08
"ENSG00000188290" 2.38983281032168e-13 1.53387370172209e-08 7.74656507919691e-14 3.69912039638352e-13 9.69390319278104e-14 2.65499888595952e-07 4.72227351060108e-13
"ENSG00000187608" 9.22621235868939e-06 7.27304384369149e-05 4.71357807225911e-13 2.37650552540124e-05 1.23130648777866e-12 4.60297582155916e-05 5.07030365022595e-05
"ENSG00000188157" 6.11627418407958e-06 2.80467012470351e-06 2.19115061165685e-05 7.45386749062459e-06 3.75287698573688e-05 2.96928336308788e-05 4.51792883010592e-05
"ENSG00000131591" 3.88920116815078e-11 4.23628868522458e-06 7.32996054846423e-07 2.59084704102571e-13 3.96556534796473e-06 6.16780246836347e-06 2.56417257775128e-12
"ENSG00000162571" 7.27189607337551e-12 1.05398351368158e-13 8.53737056003658e-07 1.19893048941849e-13 5.71934719582228e-07 1.99258047314788e-13 6.29198651474349e-08
"ENSG00000186891" 4.89568922037539e-14 4.41305701414535e-14 4.50397195517264e-14 1.02866307428969e-07 7.01034165179679e-14 8.66912951991812e-14 8.04222641157921e-08
"ENSG00000186827" 4.03631292044828e-13 5.11466413421528e-14 3.62641560816718e-14 5.30024077938668e-14 8.42097592859639e-08 2.12818940628338e-13 3.59951649917593e-13
"ENSG00000078808" 1.88732740571597e-12 1.76792211857411e-05 1.08320064381752e-05 2.92344919789176e-13 1.38477205985589e-05 1.8163412768544e-05 5.23525191671738e-05
