"1" "2"
"ENSG00000186092" 1.31062403779859e-08 4.67795493296075e-12
"ENSG00000237683" 5.18993376178533e-06 1.70616222995433e-10
"ENSG00000235249" 3.20924664763179e-13 4.64889213642132e-12
"ENSG00000185097" 3.20924664763179e-13 4.64889213642132e-12
"ENSG00000269831" 3.93180848084172e-08 4.65606330442709e-12
"ENSG00000269308" 3.20924664763179e-13 4.64889213642132e-12
"ENSG00000187634" 3.20924664763179e-13 4.64889213642132e-12
"ENSG00000268179" 3.20924664763179e-13 4.64889213642132e-12
"ENSG00000188976" 1.98565191023614e-05 7.95858792104441e-06
"ENSG00000187961" 2.97660116137293e-06 4.72374127612457e-06
"ENSG00000187583" 7.84599374333501e-08 7.61958729633876e-07
"ENSG00000187642" 1.31215279235405e-07 1.87600013454403e-07
"ENSG00000188290" 1.43715944421661e-07 3.86219170354616e-07
"ENSG00000187608" 2.46828167425079e-05 0.000414002782406881
"ENSG00000188157" 4.06439296852688e-05 2.59739186644833e-05
"ENSG00000237330" 3.20924664763179e-13 4.64889213642132e-12
"ENSG00000131591" 3.35862079859149e-06 1.27819769073214e-06
"ENSG00000162571" 2.62118747769442e-07 4.68289347245069e-12
"ENSG00000186891" 7.64138657029085e-08 4.58862712224906e-06
"ENSG00000186827" 2.53113043311888e-08 7.98681563329389e-06
"ENSG00000078808" 1.56421685232621e-05 2.85690138338627e-05
"ENSG00000176022" 1.10038969500927e-05 5.57924771837649e-06
"ENSG00000184163" 1.70377297839358e-07 4.67873445793128e-12
"ENSG00000160087" 2.14632661136313e-05 1.60088540678335e-05
"ENSG00000162572" 5.50813075452818e-07 1.13383974186651e-06
"ENSG00000131584" 3.97380769135856e-06 4.1374339408847e-06
"ENSG00000169972" 1.16555263039934e-05 4.49325481082713e-06
"ENSG00000127054" 4.12943298050991e-05 2.20579604992669e-05
"ENSG00000224051" 4.92958214527069e-06 7.37878351758582e-06
"ENSG00000169962" 3.93180822261792e-08 4.69346942333115e-12
"ENSG00000107404" 1.1004053444681e-05 9.94356426131549e-06
"ENSG00000162576" 6.84129131898692e-06 4.70463807569214e-12
"ENSG00000175756" 0.000129722462975954 8.8659881136742e-05
"ENSG00000221978" 4.88486802579167e-05 4.51424878571842e-05
"ENSG00000224870" 1.94046825184245e-06 1.3174984397592e-06
"ENSG00000242485" 0.000351674659136607 0.000156197512406098
"ENSG00000235098" 6.60116262545271e-07 1.20035827612271e-07
"ENSG00000205116" 1.17953612040568e-07 4.6781607375258e-12
"ENSG00000179403" 1.60270367026036e-05 1.92032870530088e-06
"ENSG00000215915" 1.13970333964348e-06 4.37400710522421e-06
"ENSG00000160072" 1.19127300325257e-05 7.22236921807633e-06
"ENSG00000197785" 1.59323888281061e-05 9.93619215995904e-06
"ENSG00000205090" 5.24240057972936e-08 4.66288215518279e-12
"ENSG00000160075" 0.000167592282823383 0.000106597080531079
"ENSG00000215014" 1.27127469949351e-06 4.69252704388196e-12
"ENSG00000228594" 8.96445059600082e-06 4.69654179423574e-12
"ENSG00000197530" 4.3430797759345e-06 3.91417382014077e-06
"ENSG00000189409" 2.75224664640718e-07 4.74935959227694e-12
"ENSG00000248333" 3.78047561432277e-05 2.93215470766524e-05
"ENSG00000189339" 2.14404344780623e-05 1.31121167657407e-05
"ENSG00000008128" 4.54280450753859e-05 4.83698131553537e-05
"ENSG00000215790" 1.66445234256108e-06 4.70296265757629e-12
"ENSG00000008130" 1.45872076978827e-05 2.25877390070888e-05
"ENSG00000078369" 0.000218829153447682 0.000248521609596049
"ENSG00000169885" 3.93180819633707e-08 4.69727644803733e-12
"ENSG00000178821" 6.44811367556625e-06 4.69931746872869e-12
"ENSG00000142609" 1.44165455030365e-07 4.67713804027867e-12
"ENSG00000187730" 4.32495725265783e-07 4.70431008770183e-12
"ENSG00000067606" 3.82692938383628e-06 4.69656838883894e-12
"ENSG00000162585" 2.49305600637482e-05 1.15360787707871e-05
"ENSG00000269554" 3.20924664763179e-13 4.64889213642132e-12
"ENSG00000203301" 5.50449018974614e-07 4.69601771423157e-12
"ENSG00000157933" 2.51495192733341e-05 1.33974713957316e-06
"ENSG00000116151" 2.03655824112903e-06 4.95099980183869e-07
"ENSG00000269753" 3.20924664763179e-13 4.64889213642132e-12
"ENSG00000157916" 5.96248176497605e-05 6.40831624542351e-05
"ENSG00000157911" 3.01436225353266e-06 4.69379437861120e-12
"ENSG00000149527" 2.35906905153384e-07 4.67850220909536e-12
"ENSG00000157881" 6.07860328309801e-06 5.35270627225254e-06
"ENSG00000197921" 7.8635848930729e-08 4.65977871874891e-12
"ENSG00000157873" 3.21329335064038e-13 0.000101760385631035
"ENSG00000157870" 1.16321259519713e-05 2.93371609477015e-06
"ENSG00000142606" 1.31062415259726e-08 4.6613252784306e-12
"ENSG00000215912" 5.1113125458033e-07 4.69624208420815e-12
"ENSG00000169717" 1.04847687515402e-07 4.72256833993694e-12
"ENSG00000142611" 2.22800984660826e-07 4.66449373206953e-12
"ENSG00000130762" 1.30797099346222e-05 4.69208972476615e-12
"ENSG00000162591" 1.36266665825676e-06 1.71373051476813e-06
"ENSG00000158109" 2.44070424483562e-05 2.00689754353839e-05
"ENSG00000116213" 1.50170018936956e-05 2.52847889783232e-05
"ENSG00000078900" 2.07152398928741e-06 3.01749702837349e-05
"ENSG00000162592" 9.17417699888419e-08 4.66559461503098e-12
"ENSG00000235169" 2.28043065169242e-06 4.69528222814567e-12
"ENSG00000130764" 4.81202819807611e-05 2.41786722288327e-05
"ENSG00000116198" 1.31907278805723e-05 1.47190318381261e-05
"ENSG00000169598" 5.48725852395882e-06 4.61616349206955e-06
"ENSG00000198912" 4.71530803629274e-05 4.23662189370216e-05
"ENSG00000196581" 7.64075252905237e-06 4.68971857097452e-12
"ENSG00000131697" 5.99370868764457e-06 1.64634553112433e-06
"ENSG00000069424" 4.04857461261956e-06 7.74761367450904e-05
