"1" "2" "3"
"ENSG00000186092" 1.42969198983261e-08 2.58232073419292e-12 3.1063234678852e-12
"ENSG00000237683" 4.25528992943163e-06 1.5332156530524e-05 1.74761808755158e-07
"ENSG00000235249" 2.33388645788637e-13 2.56873732379937e-12 3.09926887961911e-12
"ENSG00000185097" 2.33388645788637e-13 2.56873732379937e-12 3.09926887961911e-12
"ENSG00000269831" 4.28902261975967e-08 3.35913409248505e-12 3.10196358460534e-12
"ENSG00000269308" 2.33388645788637e-13 2.56873732379937e-12 3.09926887961911e-12
"ENSG00000187634" 2.33388645788637e-13 2.56873732379937e-12 3.09926887961911e-12
"ENSG00000268179" 2.33388645788637e-13 2.56873732379937e-12 3.09926887961911e-12
"ENSG00000188976" 2.16240669899199e-05 3.21384748021172e-07 8.05632909118201e-06
"ENSG00000187961" 2.45169834703427e-06 8.78186135507894e-06 4.68991350668959e-06
"ENSG00000187583" 4.82692659812525e-08 4.87483141073371e-07 6.69374976086923e-07
"ENSG00000187642" 1.43176592417014e-07 1.88101154078643e-11 1.87053691063873e-07
"ENSG00000188290" 1.56868989060043e-07 8.10509234476393e-12 3.84943171023872e-07
"ENSG00000187608" 2.6985190803947e-05 7.96350740680535e-10 0.000413209193304955
"ENSG00000188157" 3.50919860324401e-05 0.000101899308624895 2.57938505591114e-05
"ENSG00000237330" 2.33388645788637e-13 2.56873732379937e-12 3.09926887961911e-12
"ENSG00000131591" 3.57755165944556e-06 9.28660635169833e-07 1.30274451194931e-06
"ENSG00000162571" 2.85933757122678e-07 5.21574982267163e-12 3.11609311554744e-12
"ENSG00000186891" 1.30792915831331e-08 7.67612807406231e-07 4.595730195159e-06
"ENSG00000186827" 2.80334914784444e-08 6.87383674061829e-12 7.98121633844496e-06
"ENSG00000078808" 1.62764607231545e-05 8.66000670207808e-06 2.85702196984074e-05
"ENSG00000176022" 9.79166224957031e-06 2.43129124948055e-05 5.61924456752382e-06
"ENSG00000184163" 1.09552906099419e-07 8.39827639182221e-07 3.11437038062724e-12
"ENSG00000160087" 2.33635286483958e-05 4.71824516347833e-07 1.61013196563622e-05
"ENSG00000162572" 6.00657680212329e-07 4.12235878702641e-11 1.1364580133601e-06
"ENSG00000131584" 3.54619304411103e-06 8.73752283432335e-06 4.06833016841138e-06
"ENSG00000169972" 1.27094294957622e-05 4.61091218370787e-11 4.56073374747665e-06
"ENSG00000127054" 4.42354217233829e-05 8.79349932324236e-06 2.22152377302887e-05
"ENSG00000224051" 5.161755551829e-06 2.34713445505328e-06 7.41146912013219e-06
"ENSG00000169962" 3.3440960806703e-13 4.72060878192852e-07 3.10579973654899e-12
"ENSG00000107404" 1.17412993734615e-05 2.82513894218736e-06 1.00214921180122e-05
"ENSG00000162576" 6.42304814881141e-06 1.14445742215031e-05 3.1304014877142e-12
"ENSG00000175756" 0.000141476708784792 6.18132425211972e-11 8.90845485467121e-05
"ENSG00000221978" 4.5421722648088e-05 8.66888804904958e-05 4.49950452620639e-05
"ENSG00000224870" 2.1162638721262e-06 1.50366100235386e-09 1.32245745827371e-06
"ENSG00000242485" 0.000383310529592772 2.34216970194842e-06 0.000157572141308925
"ENSG00000235098" 7.20750403041871e-07 1.20858768425542e-09 1.09842026199062e-07
"ENSG00000205116" 1.17745808596619e-07 1.20241812052919e-07 3.11525936571448e-12
"ENSG00000179403" 1.51628619008745e-05 2.55895784171333e-05 1.85851457106444e-06
"ENSG00000215915" 1.1546174471882e-06 9.76970268632132e-07 4.37230697449342e-06
