"1" "2" "3" "4"
"ENSG00000186092" 2.86525707529754e-10 1.07422392405161e-07 1.50645157782826e-12 2.35017196353664e-12
"ENSG00000237683" 2.82853353135312e-06 1.8659211357041e-05 7.03292265162493e-06 1.86711464829378e-07
"ENSG00000235249" 2.07299446104979e-13 1.33783302890327e-12 1.50531565183655e-12 2.34481595588817e-12
"ENSG00000185097" 2.07299446104979e-13 1.33783302890327e-12 1.50531565183655e-12 2.34481595588817e-12
"ENSG00000269831" 5.07940832477085e-08 2.70335357833603e-12 2.09373366021917e-12 2.34606338573761e-12
"ENSG00000269308" 2.07299446104979e-13 1.33783302890327e-12 1.50531565183655e-12 2.34481595588817e-12
"ENSG00000187634" 2.07299446104979e-13 1.33783302890327e-12 1.50531565183655e-12 2.34481595588817e-12
"ENSG00000268179" 2.07299446104979e-13 1.33783302890327e-12 1.50531565183655e-12 2.34481595588817e-12
"ENSG00000188976" 2.33948006405232e-05 1.18384768332e-10 1.6441611213996e-05 7.95355772044142e-06
"ENSG00000187961" 2.22865918469644e-06 4.99615375924247e-06 6.13303580855017e-06 4.74279886139896e-06
"ENSG00000187583" 3.9122399833785e-08 2.10998632588991e-07 2.52970819702441e-07 7.08771069055286e-07
"ENSG00000187642" 1.67599011894591e-07 1.8773221664787e-11 1.72694997516649e-08 1.83988606168793e-07
"ENSG00000188290" 1.86037802218981e-07 4.71276314191708e-12 1.07934484210897e-11 3.85361573913206e-07
"ENSG00000187608" 2.92447262783607e-05 1.43768046753347e-11 2.03554551040506e-05 0.00041581578466357
"ENSG00000188157" 2.56528076980449e-05 0.000126156581901523 5.32832702342346e-05 2.58477445429498e-05
"ENSG00000237330" 2.07299446104979e-13 1.33783302890327e-12 1.50531565183655e-12 2.34481595588817e-12
"ENSG00000131591" 3.1255777997109e-06 7.12166432700947e-06 8.05505946253197e-07 1.2774616895994e-06
"ENSG00000162571" 3.3579213608494e-07 1.83018353063769e-08 2.73215679859207e-12 2.35655564833847e-12
"ENSG00000186891" 2.08019531133159e-12 3.57356224142322e-07 3.16299185476342e-07 4.62640805267702e-06
