"1" "2" "3" "4" "5"
"ENSG00000186092" 1.0756648389857e-11 1.01069526488971e-07 1.18241565869217e-12 3.63689272100829e-12 3.804223304056e-12
"ENSG00000237683" 2.48078967245822e-06 1.90477687190416e-05 7.4386341418796e-06 4.78937965177402e-12 7.29544402441976e-07
"ENSG00000235249" 1.68691315150077e-13 9.90555178476557e-13 1.18102994941617e-12 3.63320790607732e-12 3.72754645391659e-12
"ENSG00000185097" 1.68691315150077e-13 9.90555178476557e-13 1.18102994941617e-12 3.63320790607732e-12 3.72754645391659e-12
"ENSG00000269831" 5.16674986589084e-08 2.29249321674373e-12 1.65325619482411e-12 3.63580434336337e-12 3.73202889470314e-12
"ENSG00000269308" 1.68691315150077e-13 9.90555178476557e-13 1.18102994941617e-12 3.63320790607732e-12 3.72754645391659e-12
"ENSG00000187634" 1.68691315150077e-13 9.90555178476557e-13 1.18102994941617e-12 3.63320790607732e-12 3.72754645391659e-12
"ENSG00000268179" 1.68691315150077e-13 9.90555178476557e-13 1.18102994941617e-12 3.63320790607732e-12 3.72754645391659e-12
"ENSG00000188976" 2.38121139325234e-05 1.29437265114207e-10 1.58860152035731e-05 9.44360853942958e-06 6.53679096953599e-06
"ENSG00000187961" 2.15471071686505e-06 5.13241764201436e-06 6.15520369742972e-06 2.90436112757919e-06 6.56933065593638e-06
"ENSG00000187583" 3.67573800271695e-08 2.19384561678327e-07 2.33042666568448e-07 1.39608586415967e-06 1.01003141939774e-11
"ENSG00000187642" 1.6930494085282e-07 1.39793474285794e-11 1.5914751907401e-08 3.90638578841875e-12 3.94828916766327e-07
"ENSG00000188290" 1.88818153821995e-07 3.68017242452186e-12 8.41754405404216e-12 4.76964785191292e-07 2.85672699801711e-07
"ENSG00000187608" 2.94848284885004e-05 1.15003386937911e-11 1.97858348748854e-05 0.000264766817443709 0.00056100032312029
"ENSG00000188157" 2.3997763264518e-05 0.000126191577968583 5.54275831412253e-05 3.29109878131002e-05 1.8415679159909e-05
"ENSG00000237330" 1.68691315150077e-13 9.90555178476557e-13 1.18102994941617e-12 3.63320790607732e-12 3.72754645391659e-12
"ENSG00000131591" 3.00731056802106e-06 7.46700993245049e-06 9.26433161940172e-07 1.98454670496005e-06 5.77140437853949e-07
"ENSG00000162571" 3.36033405290462e-07 4.94280573538649e-08 2.15692201231393e-12 3.64745300665035e-12 3.76824009630306e-12
"ENSG00000186891" 2.08557976635461e-12 3.19987998118207e-07 3.29135533069566e-07 7.48567714945667e-06 1.49388574086644e-06
"ENSG00000186827" 4.80305538115279e-13 1.98050142722011e-07 1.54914090903715e-12 1.55945999507225e-05 8.98916077906277e-12
"ENSG00000078808" 1.52156698170557e-05 2.60271327630807e-05 6.28074745057269e-06 3.89041076132978e-05 1.75796278713821e-05
"ENSG00000176022" 7.51771746633019e-06 2.84504815555882e-05 1.45721316576888e-05 7.07976270723952e-06 4.27456897343908e-06
"ENSG00000184163" 2.4150308749522e-08 8.97025127378121e-07 3.28913422114347e-07 3.6458581740707e-12 3.77443750887384e-12
"ENSG00000160087" 2.55886942950337e-05 6.52298273603959e-06 1.03710812911168e-05 1.3328117380098e-05 1.89476949746269e-05
"ENSG00000162572" 4.84720589540512e-07 1.38053259313485e-06 2.37953342327985e-08 1.18249214130355e-06 1.07292163219211e-06
"ENSG00000131584" 1.96884792461571e-06 1.71050970137295e-05 2.40063754778806e-06 4.51224773865176e-06 3.60368703187681e-06
"ENSG00000169972" 1.43605501843289e-05 1.28379580069462e-11 6.55453404375387e-06 3.29019783963603e-06 6.06892889933978e-06
"ENSG00000127054" 4.67422421953828e-05 2.65644383019192e-05 2.06533533919815e-05 2.31382533994787e-05 2.15567485273699e-05
"ENSG00000224051" 4.83749472513853e-06 7.70460063159048e-06 2.29528127780394e-06 1.10845844067957e-05 3.43080854429386e-06
"ENSG00000169962" 2.05090376181676e-13 1.03101941888736e-12 3.61732632720536e-07 3.63995984895763e-12 3.73099234935071e-12
"ENSG00000107404" 1.1538494469219e-05 1.28744383431935e-05 5.02659595390801e-06 1.09165566451619e-05 8.98609773369411e-06
"ENSG00000162576" 5.95957748672056e-06 1.08543298779526e-05 8.27602936188621e-06 3.64844383401773e-12 3.8166121473879e-12
"ENSG00000175756" 0.000160018898961882 3.28316260058486e-11 7.16042703511045e-05 4.94294541580539e-05 0.000131921777827655
"ENSG00000221978" 3.34911388553722e-05 0.000141682092814903 4.58953350498978e-05 5.11067469456667e-05 3.84370399923943e-05
"ENSG00000224870" 2.12368424566927e-06 2.25181530107801e-06 2.94391264884356e-07 2.28931133658338e-06 3.09000018561807e-07
"ENSG00000242485" 0.000426353573866083 5.25465894446347e-06 0.000240723334536882 0.00012946241262318 0.000191439031724385
"ENSG00000235098" 4.8602558878178e-07 2.19959896546437e-06 2.37380602885453e-12 3.66141117169719e-12 3.91845344102151e-07
"ENSG00000205116" 2.81557407615146e-08 7.44847328450058e-07 2.06572722435654e-12 3.64019284825933e-12 3.78365435310956e-12
"ENSG00000179403" 1.16607940260363e-05 4.48190396804844e-05 1.21839857190839e-05 1.19938126724926e-11 4.45555576128364e-06
"ENSG00000215915" 1.30413436900901e-06 2.00269878131635e-09 1.3395465675344e-06 4.1363717705204e-06 4.56561748018373e-06
"ENSG00000160072" 1.06999482477793e-05 2.69003538856618e-05 2.56869036420128e-06 1.04792383573058e-05 3.87185508195243e-06
"ENSG00000197785" 1.68169363494407e-05 1.37150559435262e-05 1.22244236345697e-05 7.10452975575662e-06 1.34712064119212e-05
"ENSG00000205090" 2.38253216696382e-09 1.45760955576516e-07 2.91842659012452e-07 3.63793693871089e-12 3.75803863542799e-12
"ENSG00000160075" 0.000188131357899411 8.02932487586378e-05 0.000127968788299133 9.74512239663998e-05 0.000117011713441005
"ENSG00000215014" 1.56178191484471e-06 7.45463857363781e-12 7.61748793858359e-07 3.64607369823971e-12 3.78693587039523e-12
"ENSG00000228594" 1.03339816517802e-05 6.40062884916811e-06 2.4938762209781e-06 3.64885091654862e-12 3.79153462785377e-12
"ENSG00000197530" 5.28887526607421e-06 1.30546326172874e-06 1.32029784886518e-06 1.01407536204838e-06 6.97093835262151e-06
"ENSG00000189409" 4.14626849672542e-08 1.57268049325779e-06 3.66747425054273e-07 3.6735194596037e-12 3.8998768071408e-12
"ENSG00000248333" 3.93939089547588e-05 1.70617136876122e-05 5.1426577678132e-05 2.73747256484161e-05 3.14503899273577e-05
"ENSG00000189339" 1.77542555924356e-05 4.8253046035853e-05 1.53101413868171e-05 1.39134041033349e-05 1.23715479925339e-05
"ENSG00000008128" 4.1903056506745e-05 8.53869418913324e-05 2.23003433448225e-05 4.43853267932952e-05 5.29122576334593e-05
"ENSG00000215790" 1.43931320339872e-06 2.09980102284566e-10 5.2362443531605e-06 3.64953001799309e-12 3.8164103188434e-12
"ENSG00000008130" 1.33871376499711e-05 2.19907707885113e-05 1.42098140666341e-05 2.78704822746579e-05 1.68449969588921e-05
"ENSG00000078369" 0.000243985558693435 0.000112102711562585 0.000169569056581187 0.000214870798288896 0.000283627454320813
"ENSG00000169885" 4.6775545622583e-08 2.87277671901249e-08 1.71049857304787e-12 3.68951340626366e-12 3.74851292439991e-12
"ENSG00000178821" 6.91562723694028e-06 6.5445802146029e-12 1.09067937074819e-05 3.648151844738e-12 3.79964240631982e-12
"ENSG00000142609" 1.89436290391115e-07 6.9165766904689e-11 2.60903719048284e-12 3.64760312264357e-12 3.75989288452076e-12
"ENSG00000187730" 4.90963559726434e-07 4.54364710472371e-07 1.78652426884548e-11 3.64697232937249e-12 3.81854795451381e-12
"ENSG00000067606" 3.29083126658603e-06 1.02064141272033e-05 6.47770461089876e-12 3.65518969790942e-12 3.78748658091224e-12
"ENSG00000162585" 3.19319774608229e-05 1.05471824608425e-07 5.4612502960082e-06 1.25226038815569e-05 1.09694289692846e-05
"ENSG00000269554" 1.68691315150077e-13 9.90555178476557e-13 1.18102994941617e-12 3.63320790607732e-12 3.72754645391659e-12
"ENSG00000203301" 4.35187129518916e-07 1.69207101701305e-06 5.22806027962905e-12 3.65208145536096e-12 3.79502272409455e-12
"ENSG00000157933" 2.15464727173162e-05 4.32539250314326e-05 2.88488162199665e-05 1.78877977559395e-06 1.2011600464426e-06
"ENSG00000116151" 2.41924266566646e-06 1.48262437613413e-06 1.0682909829161e-11 5.45478119953244e-12 1.0921832755216e-06
"ENSG00000269753" 1.68691315150077e-13 9.90555178476557e-13 1.18102994941617e-12 3.63320790607732e-12 3.72754645391659e-12
"ENSG00000157916" 6.47872146645319e-05 4.65976640825554e-05 3.90263874649718e-05 7.26067916385219e-05 5.5204699500004e-05
"ENSG00000157911" 3.22241826985352e-06 2.42808503687656e-07 4.88270170641238e-06 3.64784528450157e-12 3.78674076494502e-12
"ENSG00000149527" 2.6554543030327e-07 1.31310004629088e-10 3.11119243203265e-07 3.64565621455136e-12 3.77068153720969e-12
"ENSG00000157881" 3.83129223126592e-06 2.03334141872162e-05 4.77920744646347e-06 3.02237095260291e-06 7.87661974659205e-06
"ENSG00000197921" 5.733926579715e-08 2.70089970363958e-07 1.53735225906182e-12 3.63717670020365e-12 3.74220567562705e-12
"ENSG00000157873" 1.68772929726146e-13 9.9255520431292e-13 1.1835710138342e-12 0.000156507960723552 4.34104446343539e-05
"ENSG00000157870" 1.14382702241239e-05 2.06734583603238e-05 2.23554665970793e-06 4.07571906131818e-06 1.86606645037167e-06
"ENSG00000142606" 3.11349548183104e-12 1.01114087855555e-07 1.5844367691726e-12 3.63792925038344e-12 3.73554996658885e-12
"ENSG00000215912" 3.68160144360526e-07 1.11786854386426e-06 7.92154554451377e-07 3.64999391983369e-12 3.79149642160643e-12
"ENSG00000169717" 1.37780262081521e-07 2.03400958319888e-12 1.48162102003755e-12 3.6539059900375e-12 3.8065661788475e-12
"ENSG00000142611" 5.87470579647195e-13 1.71922049116538e-06 1.72872841198557e-12 3.64067191049293e-12 3.74639450506532e-12
"ENSG00000130762" 1.38752760363439e-05 9.63365651473033e-06 1.17073591023309e-05 3.65050551063684e-12 3.78500007185853e-12
"ENSG00000162591" 1.30713800741004e-06 9.26436162854475e-08 3.24719120031705e-06 4.20967352160833e-07 3.09085034581275e-06
"ENSG00000158109" 2.40081253944778e-05 2.98183436842676e-05 2.08508203442327e-05 2.65086469370243e-05 1.32307554688535e-05
"ENSG00000116213" 1.54275645408289e-05 1.1105024226052e-05 1.67647318559305e-05 2.34351393245408e-05 2.70952396955662e-05
"ENSG00000078900" 1.46339897204926e-06 6.80956313745111e-06 6.6349376815545e-07 2.63275286586817e-05 3.35720215576756e-05
"ENSG00000162592" 4.53130783110956e-13 7.07913116427907e-07 2.74658380258785e-12 3.63714827164486e-12 3.75158171344729e-12
"ENSG00000235169" 2.86182571230756e-06 4.62153309457768e-11 9.44374461792269e-07 3.64809348742312e-12 3.78964173424701e-12
"ENSG00000130764" 5.31966207761803e-05 1.86870928073155e-05 4.76503472896576e-05 1.73371518151119e-05 3.1782720696724e-05
"ENSG00000116198" 1.31096482614694e-05 4.13176317280156e-06 2.46204214968034e-05 1.95487957196031e-05 9.53819127750736e-06
"ENSG00000169598" 5.74907359392202e-06 3.78224663374087e-06 5.60213793447492e-06 8.19103377373704e-12 9.63909012369955e-06
"ENSG00000198912" 5.42692453537278e-05 1.73784469732446e-09 5.34044122640422e-05 3.23570193228069e-05 5.31973914360496e-05
"ENSG00000196581" 7.10971392135229e-06 5.85421934155118e-06 1.35405726707051e-05 3.64878768844756e-12 3.78137402754232e-12
"ENSG00000131697" 1.95130987075831e-06 3.11246643648677e-05 4.5297984641104e-06 2.73223741112618e-06 6.68604144386347e-11
"ENSG00000069424" 4.45401018454497e-06 5.61006427456719e-09 5.76861359894067e-06 6.36887320817008e-05 9.08743532405057e-05
"ENSG00000268332" 1.68691315150077e-13 9.90555178476557e-13 1.18102994941617e-12 3.63320790607732e-12 3.72754645391659e-12
"ENSG00000116254" 1.49614621809538e-07 1.03303916958392e-06 1.82784659211946e-06 3.48259605248417e-07 4.03792710252672e-12
"ENSG00000116251" 0.00103365281302194 5.79878266428494e-08 0.000496158545662548 0.000480548415293021 0.00034958893003541
"ENSG00000158286" 9.98444913312728e-07 2.4540234788245e-06 1.49601652236781e-06 1.8085730779632e-05 6.69656663227731e-06
"ENSG00000116237" 6.6233494372599e-05 8.57426145208273e-05 7.60060947308492e-05 8.80390232549283e-06 3.24732960474491e-05
"ENSG00000173673" 7.52993854754458e-07 8.74815446905859e-07 7.57549774238101e-08 3.65284787175521e-12 3.79709189420351e-12
"ENSG00000158292" 1.07301845996837e-05 1.34484727581309e-05 6.55369435962167e-06 2.29071055037304e-05 1.85690578325451e-06
"ENSG00000097021" 0.000111171664669076 2.54091747405808e-06 6.55910128013409e-05 4.12892105512981e-05 8.24218011796961e-05
"ENSG00000069812" 6.73672128507198e-08 2.8418558392647e-07 2.07979254526335e-12 4.84872532014562e-12 2.76988256451184e-06
"ENSG00000187017" 2.6227955051933e-06 1.25045833961439e-11 4.30597790187159e-06 3.6491271534673e-12 3.84411875078334e-12
"ENSG00000215788" 9.67712997699326e-07 4.35060722315191e-06 8.16883093459709e-07 7.60700786826397e-12 3.86984841921805e-07
"ENSG00000171680" 1.89146750520723e-06 1.02970143535388e-05 4.38371415597159e-06 3.65295936161049e-12 3.79036620423496e-12
"ENSG00000162408" 4.759940422659e-05 3.23717988595771e-05 3.02144080147605e-05 2.15684391285381e-05 1.91759367139383e-05
"ENSG00000173662" 1.68842958851025e-13 9.90601174119952e-13 1.18921467941323e-12 1.03107966290296e-11 1.90281612327654e-06
"ENSG00000204859" 5.50322455363272e-06 9.31199127887556e-06 1.01391573433953e-05 3.00131119762174e-06 1.1114513049706e-05
"ENSG00000162413" 1.5394477274248e-05 3.02228619338519e-05 1.8566537269582e-05 2.64528358599918e-05 1.56028691666625e-05
"ENSG00000116273" 3.58371645143596e-05 2.99094578206739e-05 6.28177126067767e-05 8.47791951948192e-06 1.04996980270258e-05
"ENSG00000041988" 1.12479899459193e-05 7.4293458010552e-11 4.5816196333085e-06 1.61713480484351e-05 2.56151432610457e-05
"ENSG00000007923" 3.6233106102746e-05 1.0575285188803e-05 1.86843507559635e-05 7.02004262189486e-06 9.0299137988765e-06
"ENSG00000171735" 0.000333762231897699 3.67098874402157e-08 9.66077506704821e-05 9.61192563378321e-05 0.000160945296808745
"ENSG00000049245" 3.90353932038842e-05 7.29924017497182e-10 3.18440824500834e-05 1.86354622213596e-05 1.29874886667489e-05
"ENSG00000049246" 4.58068425673582e-06 1.2357940043074e-05 5.04399312641753e-06 3.65093236476493e-12 3.79077846091327e-12
"ENSG00000049247" 1.72222847080733e-08 3.16116274569574e-12 1.5208250611047e-12 3.64639965632248e-12 3.83809059673268e-12
"ENSG00000049249" 2.79119603281626e-08 2.86664216175874e-12 3.24303908395937e-12 1.40907131216332e-05 1.67145345642287e-06
"ENSG00000116288" 0.000963299431952148 9.99186231299471e-09 0.000464862071050634 0.000455284001027515 0.000552467612838044
"ENSG00000116285" 1.87603727665744e-05 2.63354907555896e-05 5.5448082085377e-05 9.06019589779616e-07 4.20117813781171e-12
"ENSG00000162426" 1.29373412062303e-06 4.88151610430381e-07 6.56328506426605e-09 3.6498672824998e-12 3.82751005905241e-12
"ENSG00000142599" 8.52217819297497e-05 0.000222981558691457 0.000117484154797946 8.38976520893403e-05 8.11809103037307e-05
"ENSG00000074800" 0.00164777946995264 4.97038960019159e-06 0.000870969851724958 0.00249806212667834 0.00257954365408143
"ENSG00000131686" 2.23085497211317e-13 1.01031978461426e-07 2.15905054973884e-12 3.71295504992453e-07 5.93511295938598e-12
"ENSG00000197241" 1.57994919996264e-10 7.06988502375634e-07 2.19174028974296e-12 3.63555559336921e-12 3.73151949397233e-12
"ENSG00000142583" 1.96223244673988e-13 1.08746798560187e-12 1.06291654929888e-06 0.000146236758996094 7.87553137194101e-05
"ENSG00000180758" 1.06967776931727e-06 3.11073060278467e-06 5.504207151482e-07 3.94476409438624e-05 4.26963392590781e-06
"ENSG00000049239" 2.96967475691504e-06 9.42916406097971e-07 3.46557640265723e-06 2.28817542057484e-05 2.12423458243528e-05
"ENSG00000171621" 1.10195579861226e-06 3.07776567193941e-07 3.52919285893098e-12 3.6102988099617e-07 4.58489882929378e-12
"ENSG00000171612" 2.42748770797112e-05 1.18665785164488e-06 2.80079825767596e-05 9.03618204080582e-06 8.42566427719335e-06
"ENSG00000188807" 1.44783076039168e-05 2.26176940802917e-05 1.91787827378252e-05 1.1370023980676e-05 4.17894881514121e-06
"ENSG00000171608" 4.81713263338677e-06 8.72608446354686e-06 2.96796347197328e-06 7.19995558016289e-05 5.30112689003205e-05
"ENSG00000179840" 1.68691315150077e-13 9.90555178476557e-13 1.18102994941617e-12 3.63320790607732e-12 3.72754645391659e-12
"ENSG00000171603" 4.0694856708092e-05 0.000107661135250962 3.05563272025476e-05 6.85359304722508e-05 5.79822936425922e-05
"ENSG00000178585" 2.46857802550158e-05 9.23331670001564e-06 2.0527370262911e-05 1.09044059484266e-05 2.55663862291366e-06
"ENSG00000162441" 4.39777922162248e-05 2.43489677011511e-05 1.36265186392946e-05 4.37801887388978e-05 3.94616393183239e-05
"ENSG00000173614" 7.11929321341615e-06 5.70552595348854e-06 5.2085091407451e-12 4.05795363262806e-06 2.0654002261761e-05
"ENSG00000162444" 4.44275458496644e-06 1.92875675532492e-06 1.32230748381072e-06 3.64965159159458e-12 3.81405684562172e-12
"ENSG00000130939" 6.57894040275937e-05 7.39268334337512e-05 8.91858628303035e-05 2.85694385521295e-05 3.70516435741258e-05
"ENSG00000054523" 7.10181318618821e-05 0.000162573838036163 9.70835675118438e-05 3.29690546843489e-11 1.13121765766858e-05
"ENSG00000142657" 0.000212115237827875 0.000153742788052135 0.000115911297804611 5.34380616687521e-05 6.02254054618122e-05
"ENSG00000175279" 1.4171157719712e-05 1.01103725530128e-05 2.38852008550595e-06 8.0109692712433e-06 6.39142532802705e-06
"ENSG00000251503" 1.68691315150077e-13 9.90555178476557e-13 1.18102994941617e-12 3.63320790607732e-12 3.72754645391659e-12
"ENSG00000241563" 2.23892594061988e-07 3.76887923042649e-12 1.99580904378258e-12 3.63893460480357e-12 3.78279952669772e-12
"ENSG00000160049" 8.340096255873e-05 0.000111025884120298 6.43521015578418e-05 3.37100317975957e-05 5.44313938628175e-05
"ENSG00000142655" 1.40799388983209e-05 1.03364789026706e-05 1.09090159552208e-05 2.48621502739049e-05 1.3229105307719e-05
"ENSG00000130940" 2.25091704793732e-06 3.03611387633814e-09 1.19663863212542e-06 1.11659737643942e-06 7.74049162424554e-06
"ENSG00000175262" 2.45358417989019e-09 1.60368481658707e-06 2.84990882653332e-12 3.66130868328006e-12 3.76230737136769e-12
"ENSG00000120948" 0.00025291679668466 0.000161413764675176 0.000184062821840241 8.46101347028284e-05 8.33717920028823e-05
"ENSG00000009724" 1.9327843343385e-07 1.51210787440174e-05 5.39260757090336e-07 4.54398372372389e-06 1.34530322332761e-06
"ENSG00000116649" 9.89989784190042e-05 2.82285770183816e-05 7.10988067280219e-05 2.49897225367375e-05 5.69419121934151e-05
