"1" "2" "3" "4" "5"
"ENSG00000237683" 3.58907614644402e-09 4.08945242864105e-07 5.67083797357917e-06 6.8402833188409e-06 5.93472483218143e-06
"ENSG00000269831" 6.88819189703148e-09 4.03505786316175e-09 1.59912024597736e-13 9.05478551763032e-14 6.43363974588089e-13
"ENSG00000188976" 2.27234298611024e-05 1.09292460265243e-05 1.20737087315302e-08 1.95432357303792e-05 4.55243280974909e-05
"ENSG00000187961" 6.37460010659145e-07 1.73388827184966e-13 4.36995073793467e-06 1.93053594941025e-06 1.7567698953861e-05
"ENSG00000187583" 8.97932193822371e-14 4.14369612783313e-14 6.62893965760528e-07 1.29900887930968e-13 3.02728805632307e-13
"ENSG00000187642" 1.22950228862545e-08 1.19534815833325e-07 1.53337314947181e-13 2.97651369688204e-13 3.0765384967241e-13
"ENSG00000188290" 3.05881906949863e-09 2.36029142222668e-09 9.33461099157355e-14 1.82113007483571e-13 6.12712435277408e-07
"ENSG00000187608" 4.28325000428017e-05 1.72218628342717e-05 1.21350909623155e-12 1.01972695593113e-05 9.61725149134655e-05
"ENSG00000188157" 5.17108758044446e-06 8.33163726186423e-06 3.00883683480572e-05 3.74395839776171e-05 3.31589457594057e-05
"ENSG00000131591" 2.3309946300788e-06 2.15547195809849e-13 1.72869642111585e-10 2.57925404380696e-06 1.76965994561937e-05
"ENSG00000162571" 1.38091106738812e-13 2.12524022845934e-13 1.0500782202902e-06 2.5928950494923e-07 6.10605619598982e-13
"ENSG00000186891" 3.46336441235776e-14 7.39107885641423e-08 8.42938070127001e-14 9.59244181042267e-14 2.17169441132415e-13
"ENSG00000186827" 4.18938122998825e-14 1.39879837762947e-13 6.13891762395619e-14 7.0065462048282e-08 5.91218013136841e-13
"ENSG00000078808" 8.2290382158134e-06 5.91988723086678e-13 1.75450903628201e-05 1.83939455147721e-05 5.05764305382799e-05
"ENSG00000176022" 2.43710236245255e-06 1.56736081961195e-06 2.24317280665057e-05 1.79880299015325e-05 5.76035477702286e-05
"ENSG00000184163" 2.05583213288101e-07 1.12148579823919e-13 9.9844631480151e-11 1.03567805561103e-13 2.12004745117501e-13
"ENSG00000160087" 1.96623068585223e-05 6.38501202528638e-06 2.37323286697831e-05 1.1629679870486e-12 0.0001042371833557
"ENSG00000162572" 4.4567094800408e-07 1.56364935258154e-07 1.0671155814167e-12 6.02485859656659e-07 1.81468441478592e-12
"ENSG00000131584" 3.90945530853484e-06 1.75731996298269e-13 2.31495663148263e-06 4.7648033152239e-06 2.09725984146277e-12
"ENSG00000169972" 1.7786729975977e-05 7.2792388103125e-06 2.95486627336216e-12 1.69634421251334e-12 5.41823551219052e-05
"ENSG00000127054" 4.84185885921159e-05 1.86727019973573e-05 5.01228851477881e-05 7.10645905714976e-06 0.000137028346979295
"ENSG00000224051" 3.37198945232861e-06 5.3300373494904e-13 8.44434695569178e-06 2.25326555521937e-06 1.5069813500646e-05
"ENSG00000107404" 9.12361383209862e-06 4.1508900778779e-06 1.12151059232627e-05 1.96477875125102e-05 2.10689156908186e-05
"ENSG00000162576" 4.19356119224783e-06 3.26381222719786e-06 1.51544498991906e-05 1.27532178028944e-12 1.95944549815142e-05
"ENSG00000175756" 0.000177869805541229 6.49779293863987e-05 2.67956204053014e-05 2.87456032700054e-05 0.000572419388619778
