"1" "2" "3" "4" "5" "6"
"ENSG00000237683" 2.28919326420927e-06 8.22095719797059e-13 4.34204638779785e-11 7.96713963740626e-06 5.48261366146977e-06 5.04090481778246e-06
"ENSG00000269831" 4.4990968607005e-14 4.92018680161665e-09 1.83233503854075e-13 9.76382566835753e-14 1.01784780134218e-13 5.06407432152767e-08
"ENSG00000188976" 9.77220771302847e-06 2.77109493767187e-05 1.75449540112142e-05 2.05764412138388e-05 4.81802394365573e-06 5.92873076866252e-12
"ENSG00000187961" 6.13334211715572e-13 2.43985781751079e-06 2.98157662178372e-13 3.42358592484648e-06 9.03204680597449e-06 9.45242033138212e-13
"ENSG00000187583" 1.83426349711558e-07 4.216414277141e-11 3.67243788366789e-14 1.25705333321806e-13 5.89384617614772e-07 1.49890054585172e-12
"ENSG00000187642" 9.13860251745864e-14 4.5710541626088e-14 9.08484503408401e-09 2.64454361146697e-13 7.18745811630063e-14 7.50230044798582e-07
"ENSG00000188290" 5.65029625186913e-14 1.98639075325768e-08 1.03004875673696e-07 2.67607617952085e-13 1.19618081239667e-13 4.29939000768166e-13
"ENSG00000187608" 6.81801974590529e-11 5.79018846160792e-05 3.2856050722339e-05 1.79409617063503e-05 3.40054440594601e-12 4.91161799238405e-05
"ENSG00000188157" 1.16056015886921e-05 5.01060473244138e-06 3.96129168849732e-06 4.06502324902431e-05 3.45235278851771e-05 5.64274913469029e-05
"ENSG00000131591" 5.02284131066777e-12 3.89105793865272e-06 7.8850443086667e-13 4.54189599395268e-06 3.77528314426495e-06 1.66459105657512e-06
"ENSG00000162571" 2.20904014426458e-07 1.14857018776291e-13 1.4166947447374e-13 1.76361909005833e-12 1.44099091034746e-06 5.966767907083e-13
"ENSG00000186891" 7.91568705585646e-08 3.25187164850113e-14 1.53886318693172e-09 9.35819191729258e-14 8.94629987231604e-14 4.11625774746124e-13
"ENSG00000186827" 6.88408049621431e-14 4.43093518834399e-14 9.35362594818757e-14 8.98097040890088e-08 6.94753888108645e-14 1.89853716634645e-13
"ENSG00000078808" 5.59424557261641e-06 1.29543412090717e-05 1.12407641616998e-07 2.51505963041053e-05 2.96128952036875e-05 1.58196243640252e-08
"ENSG00000176022" 1.51984313408881e-06 4.66110474204053e-06 3.08430180015563e-07 2.12949548048473e-05 3.1732677745771e-05 5.63809060607335e-05
"ENSG00000184163" 1.77071864900928e-08 2.04373673169466e-08 3.7198747575127e-14 6.21353446075326e-14 1.48326487919253e-13 1.33242397814481e-06
"ENSG00000160087" 7.05954670506052e-06 3.01171375911244e-05 1.92028304126041e-05 3.60031962417496e-12 3.49613491184746e-05 7.16740589082887e-08
"ENSG00000162572" 8.05616593342472e-07 3.40785358639414e-07 5.02516775780448e-08 7.31646968767467e-09 3.91442178184263e-13 4.66645849737499e-13
"ENSG00000131584" 2.00625410029133e-06 5.01222821440975e-06 1.85690045349301e-13 4.08594215300811e-06 2.98479531934172e-06 2.67099867528141e-08
"ENSG00000169972" 8.59004535013573e-13 2.39049155322241e-05 1.43012256677649e-05 3.17400409189899e-10 3.7057166368805e-06 2.78942992961933e-05
"ENSG00000127054" 2.78002882228631e-05 6.15362964842288e-05 3.17404774237104e-05 8.98934156653984e-06 6.95962478292422e-05 9.24258343143121e-12
"ENSG00000224051" 1.98681984187973e-06 4.33073359512155e-06 3.48142681462166e-10 4.19626825696405e-06 1.38983775513613e-05 9.47015451780855e-13
"ENSG00000107404" 9.60811265908344e-06 1.01084470172377e-05 3.22970062644429e-07 2.53566678203526e-05 6.53882955210311e-06 3.30850428571426e-05
"ENSG00000162576" 3.84335354004406e-07 5.5085353938578e-06 1.95024316154429e-06 3.81394549065407e-12 1.9083843904522e-05 3.8259582090571e-05
"ENSG00000175756" 2.17392388303552e-06 0.000249901568340183 0.000166560966047103 3.80330491444813e-05 0.000108246661515128 2.83770839976502e-11
"ENSG00000221978" 1.06777371159177e-05 3.81898906128287e-05 1.71243637573198e-05 9.84435109663102e-05 9.86869109981773e-05 0.000118171190663737
"ENSG00000224870" 2.25165793458509e-06 2.59608692870751e-06 1.94101257147676e-06 8.59922896887945e-13 2.27834665680333e-12 4.33349209845743e-09
"ENSG00000242485" 0.000453513189868776 0.000477564024594375 0.000566786692141088 9.93129196849203e-05 0.000221850187802278 2.49005961195264e-05
"ENSG00000235098" 3.84086815221264e-14 8.84869227766076e-07 2.19103806380277e-08 3.24008070390094e-13 1.06615240818173e-13 6.91401453382327e-06
"ENSG00000205116" 3.0491844147819e-07 2.18911566671879e-08 4.07576447189882e-14 9.21281506681076e-14 3.34518077079461e-13 8.34950966100278e-13
"ENSG00000179403" 4.54725177303557e-07 1.58986808736171e-05 3.53891167107108e-06 1.78321154090152e-05 4.49673138869051e-05 3.53835879615622e-05
"ENSG00000215915" 1.36230660246787e-06 6.52371837831148e-07 1.31583302818033e-07 1.31213238229939e-06 2.93025246470214e-13 6.63321294200831e-13
"ENSG00000160072" 1.24559305993042e-05 7.05137696098809e-06 2.49077274127699e-07 5.0777204531326e-06 2.21794080735558e-05 1.1739121962384e-12
"ENSG00000197785" 9.0464570045932e-07 1.61953923595489e-05 9.95995844174303e-06 2.91733810747835e-06 1.75661555212505e-05 3.79144926730363e-12
"ENSG00000205090" 4.49434452605485e-14 4.04298055126478e-14 7.6685298650673e-13 1.01072225697171e-13 1.88073681130103e-13 2.54822202187963e-07
"ENSG00000160075" 0.000168698697813255 0.000219048861365539 0.000174034110733829 6.88033607584407e-05 0.00018127438391915 6.44094356804962e-12
"ENSG00000215014" 1.87024320672027e-06 4.1540368101531e-06 8.52897499580084e-14 1.40665518415156e-13 5.73802345423377e-08 6.37970040291905e-13
"ENSG00000228594" 1.90866195362817e-06 1.31751310075501e-05 7.78870613835488e-06 5.62283065674154e-06 1.61765940625329e-05 1.83655674417435e-10
"ENSG00000197530" 3.00373438677851e-13 3.69477589352259e-06 3.50117355069778e-06 5.04657114034846e-06 6.74660276445515e-09 8.07465459313866e-13
"ENSG00000189409" 2.07028959599808e-07 3.76677140212228e-14 8.96401956047171e-08 2.353440421838e-13 7.19385389224384e-13 5.20129055440306e-09
"ENSG00000248333" 1.29045179415248e-05 4.57467307605514e-05 3.46993466948815e-05 3.84181283387862e-06 4.00475833236521e-05 0.000112582204244113
"ENSG00000189339" 1.10784976717734e-05 9.06451680791365e-06 8.79197224739059e-06 1.46833801629935e-05 2.61805254621003e-05 7.67140375811668e-05
"ENSG00000008128" 5.37998004795962e-05 4.06991640979705e-05 2.67449134892812e-05 4.9433965705884e-05 2.75841179509935e-11 2.70695688406501e-11
"ENSG00000215790" 1.67182919212834e-13 9.99718741214368e-14 3.87674335597665e-11 2.37818996603529e-06 5.39021963515844e-07 8.58507402990957e-06
"ENSG00000008130" 6.4910779813896e-06 9.23372029136281e-06 1.07762160721353e-05 1.16426202039667e-05 4.44625985431358e-06 1.00397267739346e-05
"ENSG00000078369" 0.000271254190312054 0.000320897362333124 0.000260370327576444 0.000137559919904697 0.000255097384855387 1.65291113185497e-08
"ENSG00000169885" 1.35072390436523e-13 2.42730686481385e-08 5.96884693645557e-14 1.30396169389101e-13 6.14272165618964e-14 4.69567730860829e-13
"ENSG00000178821" 1.78252904389999e-13 1.3740634631336e-05 5.44703482444885e-06 4.1391496631674e-13 5.79575125197099e-13 1.67931705519092e-05
"ENSG00000142609" 2.68054393811205e-11 8.58586119962881e-14 1.18262959717956e-08 1.28374589835782e-13 2.30178451470132e-13 3.47005252496185e-07
"ENSG00000187730" 3.36152148107818e-07 4.43188058016276e-14 1.39789037658649e-07 2.51767527388637e-13 1.75631914626525e-13 3.56111657679046e-06
"ENSG00000067606" 6.46664905669213e-06 4.2697739024319e-06 3.31247110868407e-07 1.69628407993577e-08 3.23402471694413e-06 4.6983347557958e-06
"ENSG00000162585" 1.32748071714447e-13 2.89385371773528e-05 1.31022950004269e-05 1.25766623374575e-05 5.65916305623362e-06 5.3233980398074e-06
"ENSG00000203301" 5.77019568883393e-13 3.54776016483144e-07 3.01911384706263e-11 2.0404259273621e-07 2.14307517433115e-13 7.31069211774378e-06
"ENSG00000157933" 1.46945608094289e-05 1.75003796176243e-05 5.11657480866696e-06 2.20218252901271e-05 3.32018530548472e-05 1.00233463100876e-11
"ENSG00000116151" 5.12318076674051e-13 3.50793130384734e-06 9.54762805556211e-07 1.25950501837948e-06 1.91941868231606e-06 1.00644215902574e-05
"ENSG00000157916" 3.30870278793893e-05 9.0028060413419e-05 3.24293821442828e-05 6.8749237231396e-05 7.08048725347131e-05 0.000116098015014342
"ENSG00000157911" 3.60162552329489e-06 1.98558495805252e-06 8.6748700310719e-07 6.6268149167414e-13 6.41589043335749e-06 1.6774573292428e-06
"ENSG00000149527" 6.90082025397194e-08 3.34220038476306e-07 6.09671463998094e-08 1.32927419180208e-13 1.11670458713936e-12 3.29898335774127e-08
"ENSG00000157881" 5.49726543106387e-06 2.03498423031114e-07 6.2358452782861e-13 1.84201464269232e-05 7.1129639833084e-06 9.2150897915453e-13
"ENSG00000197921" 4.67418499459484e-14 2.21493637558719e-07 3.23529062062486e-14 1.829649778332e-13 7.13800137340938e-14 6.71184121296582e-13
"ENSG00000157870" 7.75156896375376e-06 1.05460738191742e-05 6.14746337946052e-06 9.64504875825875e-06 3.00036281378896e-05 2.31510653983473e-05
"ENSG00000142606" 7.45264303843072e-14 9.10236395370601e-09 2.99035104025901e-14 1.65977168839227e-13 6.14497106914146e-14 3.29923393173469e-13
"ENSG00000215912" 1.15211034613923e-06 1.06555446226934e-06 2.88615421739056e-13 3.39564517857343e-13 2.73408657592485e-13 2.18756489485442e-13
"ENSG00000169717" 3.16200862755229e-14 7.6157460490114e-07 3.09810903171069e-14 8.23829370693605e-14 5.85051538907451e-14 2.72229388189989e-13
"ENSG00000142611" 2.810796922238e-07 6.57940462572188e-14 5.23169199326506e-14 2.38648322398975e-13 1.11804757284742e-06 1.45694310680507e-11
"ENSG00000130762" 2.14010968480995e-06 7.97986540080773e-06 4.49399569541821e-06 4.84633246937235e-06 1.42829002408304e-05 2.38220767852194e-12
"ENSG00000162591" 9.02083916100378e-14 2.08749210208993e-06 7.60024842943685e-14 1.95149319060858e-13 1.33781700699495e-13 7.21013840771012e-06
"ENSG00000158109" 2.76511382376381e-05 1.6407633614894e-05 1.17348249002248e-05 1.98209726144662e-12 7.95126811544497e-05 4.47008523115212e-05
"ENSG00000116213" 6.57038280656374e-06 1.92882996708021e-05 6.82701675176879e-06 8.70849542187113e-06 2.61005797872186e-05 2.23382564220031e-05
"ENSG00000078900" 1.86254898618755e-06 3.0919246654877e-13 3.19722555228567e-13 7.4209448100216e-06 2.06539146452253e-07 2.62844689357749e-12
"ENSG00000162592" 3.66904839350067e-14 3.48819248934214e-14 2.92512019320093e-07 1.09653610493732e-13 1.00926643148892e-13 4.469747530166e-13
"ENSG00000235169" 6.21408922847345e-13 6.1705976888828e-06 2.14855748298909e-06 1.18854363590088e-11 7.4466173361119e-13 2.93045561157003e-06
"ENSG00000130764" 4.96004091196036e-05 4.94054720923642e-05 4.29265992996494e-05 4.50820991413933e-05 5.48952459502563e-05 5.10564022784458e-12
"ENSG00000116198" 2.07156452260089e-05 1.98646361289925e-05 7.2621708743661e-06 1.68579429605191e-12 4.0063082106577e-06 9.30464552850298e-07
"ENSG00000169598" 7.27824928871069e-06 2.08535099573539e-06 5.34675854159804e-06 1.01423458229581e-05 1.33982740693316e-12 3.26984479628787e-07
"ENSG00000198912" 3.20553894609485e-05 4.32295078332057e-05 8.32192141764701e-05 4.60059623401496e-07 2.9145503506123e-05 0.00012872099891457
"ENSG00000196581" 9.70560922202331e-07 2.20527227499606e-12 8.26281757519538e-06 4.20876925163169e-07 6.63058782118896e-07 6.41988948754445e-05
"ENSG00000131697" 7.84718668847387e-06 1.16206155600162e-07 1.25315949103624e-13 7.17491791723867e-06 1.50325170536034e-05 8.49620153805402e-13
"ENSG00000069424" 2.78422517977065e-13 1.65863211120272e-06 5.67147814590427e-06 2.58315568853677e-13 8.23873260376138e-06 2.24740748697443e-05
"ENSG00000116254" 1.1632212411018e-09 1.39230294595383e-10 8.90063338797881e-14 1.97358788987137e-06 2.95104859895223e-13 2.08846048633196e-07
"ENSG00000116251" 0.000745152755281618 0.00102941718783495 0.00132349390090591 9.78071516769679e-05 0.000579424866001795 2.8166753635378e-07
"ENSG00000158286" 2.18593431393503e-13 7.91986028943375e-07 1.07537379679132e-12 5.92528318074352e-06 9.24496913538935e-08 5.07868085168549e-13
"ENSG00000116237" 5.76129791304478e-05 8.57591552552438e-05 2.56002208625354e-05 9.2495069085341e-05 0.000110529504002982 0.000101190998756896
"ENSG00000173673" 1.44080601601401e-12 1.68650262320887e-06 1.01834280941022e-06 2.04303593340154e-13 9.83459769098751e-07 9.79675247568399e-13
"ENSG00000158292" 4.16457721871039e-08 1.08002037562744e-05 6.42173453458211e-06 1.08698872169162e-05 2.36590834824311e-05 2.91953935375913e-05
"ENSG00000097021" 8.74647076558383e-05 0.000122943413998994 0.000110226705881644 8.23255346146955e-07 9.99190565899716e-05 3.64134662667138e-12
"ENSG00000069812" 7.11602837331569e-14 2.04229082722713e-07 1.16447146687298e-13 1.10522275996365e-07 4.77788360043075e-13 5.66513591771687e-13
"ENSG00000187017" 5.41250438128747e-13 1.63293326879253e-06 3.16528054959633e-06 1.97133092854252e-13 4.29231141476088e-07 6.54289367548143e-06
"ENSG00000215788" 2.36963666977756e-06 5.87955304920868e-07 6.5866964077151e-07 1.76330030162796e-13 9.69631439622778e-13 3.61588840318595e-07
"ENSG00000171680" 3.09857599131108e-06 5.95892216745269e-13 1.01883165620647e-06 5.01851578594123e-06 7.13930048059513e-06 8.88702684602415e-13
"ENSG00000162408" 5.49302908677487e-05 5.93032916703356e-05 9.58220308011081e-06 1.96152178657576e-05 9.20650120267241e-05 2.17708554472924e-05
"ENSG00000204859" 3.21321440990292e-06 9.32929877876193e-06 2.20893911667032e-10 2.97167874509696e-06 6.9878367401962e-06 1.22408267203886e-05
"ENSG00000162413" 2.44815022031947e-05 1.51523078092605e-05 7.22955358301846e-06 2.89694100115201e-05 2.57233323392655e-05 1.80165094235088e-05
"ENSG00000116273" 4.65931929174182e-05 2.19541832319994e-05 3.56694550992267e-05 1.58345271063679e-05 5.09910917954658e-05 0.000137882490765503
"ENSG00000041988" 2.39815625225949e-06 1.66163085428202e-05 1.32447855058713e-05 4.31012768019704e-09 3.58065391975682e-09 1.03164558314621e-05
"ENSG00000007923" 2.64877510920738e-05 3.43997659394949e-05 3.03845215044696e-05 1.52843470727878e-10 8.13107595630887e-06 7.49092865709871e-05
"ENSG00000171735" 0.000148129036865169 0.000423165115071924 0.000417689798070124 4.91546370830937e-05 0.000155322985243974 0.000176979758280448
"ENSG00000049245" 3.63358827174534e-05 4.84089462137052e-05 3.20895483020111e-05 2.50794562690991e-05 4.24835223785822e-05 3.73425822973476e-11
"ENSG00000049246" 1.06891075702092e-05 1.36832828010523e-06 2.96514947192204e-06 1.12462619544039e-06 2.10499906489213e-05 6.47841247582928e-12
"ENSG00000049247" 2.93886696070621e-13 6.75690977468258e-14 3.91767368541483e-14 6.83272617680371e-14 7.96343728038145e-14 2.09855287702543e-07
"ENSG00000049249" 2.76071266948303e-14 4.0986309682206e-14 8.83716324598265e-12 1.17861295884414e-13 1.53603678659474e-13 5.39588846232769e-07
"ENSG00000116288" 0.000840890212112276 0.00101449970445788 0.00136676930821397 0.000240423408311147 5.59849113378463e-05 0.00121744232489142
"ENSG00000116285" 2.79346867054343e-05 1.8672730210428e-06 1.61150894852307e-06 4.20115446203018e-05 5.77470383365948e-05 7.53158204925358e-05
"ENSG00000162426" 1.76775007813826e-13 2.09745171031265e-07 2.34274451772156e-06 6.77657898010669e-11 2.01820455807604e-13 2.30673291204229e-12
"ENSG00000142599" 5.33641154312864e-05 1.76536755605891e-05 8.98514473892741e-05 0.000133217935913461 0.000215956836223708 0.000269857659587407
"ENSG00000074800" 0.00142219703431589 0.00175744671861375 0.00199078602543364 0.000127136710143556 0.000996431281173385 0.00167351982917875
"ENSG00000197241" 5.35363244837788e-14 3.73974091743908e-14 8.76705564500724e-14 8.30741195628841e-07 1.64002715703856e-13 6.89515949840838e-13
"ENSG00000142583" 2.79302831814136e-14 3.42997851308879e-14 6.67316117276991e-14 2.39820577403141e-13 1.20348875821982e-08 2.37639626655508e-13
"ENSG00000180758" 2.63992639571418e-13 8.48286849199915e-13 1.7755722368678e-06 1.66003078581054e-13 6.74174074177333e-06 4.31528884961339e-13
"ENSG00000049239" 8.19773049965444e-14 4.66735049067816e-06 3.12338679498925e-13 9.52396396252489e-06 6.14839650183692e-13 9.56145290635729e-13
"ENSG00000171621" 3.08753642471575e-11 7.64288668876658e-07 1.35661451335135e-06 2.11701978991575e-13 5.95023399947669e-12 2.07611185929954e-06
"ENSG00000171612" 2.13273132717989e-05 2.70109653527045e-05 2.2464890283729e-05 2.99079241386759e-06 2.08332634201157e-05 1.80249858545666e-12
"ENSG00000188807" 6.34319925123427e-11 1.73528526795634e-05 1.10705248985612e-05 2.00817633203662e-05 1.53356531857715e-05 2.90694842742056e-05
"ENSG00000171608" 6.6461826360899e-06 3.47593534765956e-06 9.79548340827093e-07 7.11773458677734e-06 5.28997426821199e-06 2.39265251901062e-05
"ENSG00000171603" 4.08823333523873e-05 3.55803303065724e-05 2.52330751830345e-05 0.000108526339620508 5.05308137831185e-05 8.03035634163579e-05
"ENSG00000178585" 1.19016816243521e-05 2.25374045235785e-05 1.57673089546259e-05 4.9397316783755e-06 4.60370499312767e-05 5.95197314648386e-05
"ENSG00000162441" 6.26768889626082e-05 4.30574466726526e-05 4.07571278224042e-05 2.29000118020632e-05 6.22148760885561e-13 7.43398607155347e-06
"ENSG00000173614" 6.5703480156391e-06 5.64639231804706e-06 6.40786851783921e-06 4.45969237505667e-13 1.5835762841899e-07 3.63653135398598e-05
"ENSG00000162444" 5.73659607890067e-06 2.26912733881766e-06 2.95364405054777e-06 1.11195134896519e-05 8.0906513010825e-08 1.3688003147307e-12
"ENSG00000130939" 5.97608061598909e-05 6.12446327102668e-05 5.99502303091877e-05 4.93502280526261e-05 0.000159803381894645 3.40704992105081e-12
"ENSG00000054523" 0.000113546023648999 5.62141501351206e-05 5.60212730492387e-05 0.000152153502288034 0.000124469811342192 1.59785540506765e-07
"ENSG00000142657" 0.00025322851298315 0.00026181894036945 0.000160751597794719 9.92766622047228e-05 0.000228593477339985 1.00053396294537e-05
"ENSG00000175279" 1.58022282472517e-05 1.97953043688657e-05 2.32407000401396e-06 1.97655729617597e-05 1.00552821972731e-05 1.04360602796652e-05
"ENSG00000241563" 3.80995471588979e-14 1.08622988657686e-06 4.13861802528394e-14 1.42154108805193e-13 7.56267987411688e-14 1.5925290273696e-13
"ENSG00000160049" 9.0355665700676e-05 8.80159769429526e-05 2.67133038559181e-05 8.84433857443504e-05 5.83857565129443e-05 0.000297509926903579
"ENSG00000142655" 1.11758376495369e-05 9.43758740122434e-06 6.36780271419568e-06 2.44515335735344e-05 2.47654883951351e-05 2.02657564574958e-05
"ENSG00000130940" 1.97416071278611e-06 4.2725070272769e-13 3.72135529113161e-06 1.64759876144051e-12 7.94092169495331e-07 8.76379278691422e-06
"ENSG00000175262" 4.61175015213578e-14 1.67741324019984e-07 2.33637216218024e-09 3.75279958526288e-13 1.03476352492391e-06 4.0638486052905e-13
"ENSG00000120948" 0.000368508185417516 0.000266721303883694 0.000289425552810984 5.03029662855209e-05 0.000250266902505923 7.17364879042802e-12
"ENSG00000009724" 1.07826982565122e-07 2.04387540512756e-13 3.58995416198307e-06 2.97023481300867e-10 5.13143328971247e-06 3.57451353509692e-06
"ENSG00000116649" 6.24275020635129e-05 0.000124145260638647 4.27589335586587e-05 3.84683160073925e-05 0.000235528408696602 3.41267346888928e-12
"ENSG00000171824" 7.42933969497776e-05 5.20668131192372e-05 1.98901310230282e-05 4.68131673945111e-05 7.28713329629381e-05 2.88657835119859e-09
"ENSG00000198793" 5.11358406806003e-05 3.22095185551432e-05 2.59560865252063e-05 6.3058721602205e-05 8.26172622279304e-05 6.85442337063347e-05
"ENSG00000171819" 1.08703305896653e-13 5.74919673754686e-14 5.53790395527387e-14 8.84131569441219e-14 2.94860679827219e-07 6.33168036234578e-13
"ENSG00000120942" 2.30553003588574e-05 2.77633311288543e-05 1.72406151577068e-05 2.78790419354864e-05 4.50455442566491e-05 6.48861933469265e-10
